primary_id,sub_id,Name,Description
4,UP-01,System Description,"In the system description, the cloud provider shall provide comprehensible and transparent specifications regarding the cloud service, which allow an expert third party to assess the general suitability of the cloud service for the desired application. The system description describes the following aspects: 
 - Type and scope of the cloud services rendered according to the service level agreement which is typically based on a contract concluded with the cloud customers 
 - Principles, procedures and safeguards for rendering (development and/or operation) the cloud service, including the controls established 
 - Description of the infrastructure, network and system components used for the development and operation of the cloud service 
 - Handling of significant incidents and conditions which constitute exceptions to regular operations, such as the failure of critical IT systems 
 - Roles and responsibilities of the cloud provider and the cloud customer, including the duties to cooperate and corresponding controls at the cloud customer 
 - Functions assigned or outsourced to subcontractors"
4,UP-02,"Jurisdiction and Data Storage, Processing and Backup Locations","In service level agreements, the process documentation or comparable documentation, the cloud provider shall provide comprehensible and transparent specifications regarding its jurisdiction as well as with respect to data storage, processing and backup locations, which allow an expert third party to assess the general suitability of the cloud service for the customer application. This also holds true if data of the cloud customer is processed, stored and backed up by subcontractors of the cloud provider. Data of the cloud customer shall only be processed, stored and backed up outside the contractually agreed locations only with the prior express written consent of the cloud customer."
4,UP-03,Disclosure and Investigatory Powers,"In service level agreements, the process documentation or comparable documentation, the cloud provider shall provide comprehensible and transparent specifications regarding applicable disclosure and investigatory powers of government agencies which allow access to data of the cloud customer. The specifications must allow an expert third party to assess the general suitability of the cloud service for the customer application. If the cloud provider accesses third-party services, the provider has obtained these specifications from them."
4,UP-04,Certifications,"In service level agreements, the process documentation or comparable documentation, the cloud provider shall provide comprehensible and transparent specifications regarding available and valid certifications and certificates of independent third parties, which allow an expert third party to assess the general suitability of the cloud service for the customer application."
5.1,OIS-01,Information Security Management System (ISMS),"The top management shall initiate, control and monitor an information security management system (ISMS) which is based on ISO standards of the 2700x series. 
 - The instruments and methods used allow a comprehensible control of the following tasks and activities to permanently maintain and ensure information security: Planning, implementing the plan and/or carrying out the project 
 - Performance review and/or monitoring the achievement of objectives 
 - Eliminating discovered flaws, weaknesses and continuous improvement. 
 
 The ISMS also includes the IT processes for the development and operation of the cloud service."
5.1,OIS-02,Strategic Targets Regarding Information Security and Responsibility of the Top Management,"A security policy with security objectives and strategic parameters for achieving these objectives shall be documented. The security objectives are derived from the corporate objectives and business processes, relevant laws and regulations as well as the current and future expected threat environment with respect to information security. The strategic targets constitute essential framework conditions which in further policies and instructions are specified in more detail (see SA- 01). The security policy shall be adopted by the top management and communicated to all concerned internal and external parties of the cloud provider (e. g. cloud customers, subcontractors)."
5.1,OIS-03,Authorities and Responsibilities in the Framework of Information Security,"Responsibilities shared between the cloud provider and cloud customers, duties to cooperate as well as interfaces for the reporting of security incidents and malfunctions shall be defined, documented, assigned depending on the respective cloud model (infrastructure, platform or software as a service) and the contractual duties and communicated to all concerned internal and external parties (e. g. cloud customers, subcontractors of the cloud provider). On the part of the cloud provider, at least the following roles (or comparable equivalents) are described in the security policy or associated policies and corresponding responsibilities assigned: 
 - Head of IT (CIO) 
 - IT Security Officer (CISO) 
 - Representative for the handling of IT security incidents (e. g. Head of CERT) 
 
 Changes to the responsibilities and interfaces shall be communicated internally and externally in such a timely manner that all internal and external parties concerned (e. g. cloud customers) are able to respond to them appropriately with organisational and technical safeguards, before the change becomes effective."
5.1,OIS-04,Separation of Functions,"Organisational and technical controls shall be established in order to ensure the separation of roles and responsibilities (also referred to the separation of duties) which are incompatible with respect to the confidentiality, integrity and availability of information of the cloud customers. Controls for the separation of functions are established in the following areas in particular: 
 - Administration of roles, granting and assignment of access authorisations for users under the responsibility of the cloud provider 
 - Development and implementation of changes to the cloud service 
 - Maintenance of the physical and logical IT infrastructure relevant to the cloud service (networks, operating systems, databases) and the IT applications if they are in the cloud providers area of responsibility according to the contractual agreements with the cloud customers 
 
 Operative and controlling functions shall not be performed by one and the same person at the same time. If it is not possible to achieve a separation of duties for organisational or technical reasons, appropriate compensating controls are established in order to prevent or uncover improper activities."
5.1,OIS-05,Contact with Relevant Government Agencies and Interest Groups,Appropriate and relevant contacts of the cloud provider with government agencies and interest groups shall be established to be always informed about current threat scenarios and countermeasures.
5.1,OIS-06,Policy for the Organization of the Risk Management,"Policies and instructions for the general procedure applicable to the identification, analysis, assessment and handling of risks and IT risks in particular shall be documented, communicated and provided according to SA-01."
