primary_id,sub_id,Name,Description
AAC,1,Audit Assurance & Compliance - Audit Planning,Audit plans shall be developed and maintained to address business process disruptions. Audit plan(s) shall focus on reviewing the effectiveness of the implementation of security operations. All audit activities must be agreed upon prior to executing any audits. 
AAC,2,Audit Assurance & Compliance - Independent Audits,"Independent reviews and assessments shall be performed at least annually to ensure that the organization addresses nonconformities of established policies, standards, procedures, and compliance obligations."
AAC,3,Audit Assurance & Compliance - Information System Regulatory Mapping,"Organizations shall create and maintain a control framework which captures standards, regulatory, legal, and statutory requirements relevant for their business needs. The control framework shall be reviewed at least annually to ensure changes that could affect the business processes are reflected."
AIS,1,Application & Interface Security - Application Security,"Applications and programming interfaces (APIs) shall be designed, developed, deployed, and tested in accordance with leading industry standards (e.g., OWASP for web applications) and adhere to applicable legal, statutory, or regulatory compliance obligations."
AIS,2,Application & Interface Security - Customer Access Requirements,"Prior to granting customers access to data, assets, and information systems, identified security, contractual, and regulatory requirements for customer access shall be addressed."
AIS,3,Application & Interface Security - Data Integrity,"Data input and output integrity routines (i.e., reconciliation and edit checks) shall be implemented for application interfaces and databases to prevent manual or systematic processing errors, corruption of data, or misuse."
AIS,4,Application & Interface Security - Data Security / Integrity,"Policies and procedures shall be established and maintained in support of data security to include (confidentiality, integrity, and availability) across multiple system interfaces, jurisdictions, and business functions to prevent improper disclosure, alteration, or destruction."
BCR,1,Business Continuity Management & Operational Resilience - Business Continuity Planning,"A consistent unified framework for business continuity planning and plan development shall be established, documented, and adopted to ensure all business continuity plans are consistent in addressing priorities for testing, maintenance, and information security requirements. 
 Requirements for business continuity plans include the following: 
 - Defined purpose and scope, aligned with relevant dependencies 
 - Accessible to and understood by those who will use them 
 - Owned by a named person(s) who is responsible for their review, update, and approval 
 - Defined lines of communication, roles, and responsibilities 
 - Detailed recovery procedures, manual work-around, and reference information 
 - Method for plan invocation"
BCR,2,Business Continuity Management & Operational Resilience - Business Continuity Testing,Business continuity and security incident response plans shall be subject to testing at planned intervals or upon significant organizational or environmental changes. Incident response plans shall involve impacted customers (tenant) and other business relationships that represent critical intra-supply chain business process dependencies.
BCR,3,Business Continuity Management & Operational Resilience - Datacenter Utilities / Environmental Conditions,"Data center utilities services and environmental conditions (e.g., water, power, temperature and humidity controls, telecommunications, and internet connectivity) shall be secured, monitored, maintained, and tested for continual effectiveness at planned intervals to ensure protection from unauthorized interception or damage, and designed with automated fail-over or other redundancies in the event of planned or unplanned disruptions."
BCR,4,Business Continuity Management & Operational Resilience - Documentation,"Information system documentation (e.g., administrator and user guides, and architecture diagrams) shall be made available to authorized personnel to ensure the following: 
 - Configuring, installing, and operating the information system 
 - Effectively using the system-s security features"
BCR,5,Business Continuity Management & Operational Resilience - Environmental Risks,"Physical protection against damage from natural causes and disasters, as well as deliberate attacks, including fire, flood, atmospheric electrical discharge, solar induced geomagnetic storm, wind, earthquake, tsunami, explosion, nuclear accident, volcanic activity, biological hazard, civil unrest, mudslide, tectonic activity, and other forms of natural or man-made disaster shall be anticipated, designed, and have countermeasures applied."
BCR,6,Business Continuity Management & Operational Resilience - Equipment Location,"To reduce the risks from environmental threats, hazards, and opportunities for unauthorized access, equipment shall be kept away from locations subject to high probability environmental risks and supplemented by redundant equipment located at a reasonable distance."
BCR,7,Business Continuity Management & Operational Resilience - Equipment Maintenance,"Policies and procedures shall be established, and supporting business processes and technical measures implemented, for equipment maintenance ensuring continuity and availability of operations and support personnel."
BCR,8,Business Continuity Management & Operational Resilience - Equipment Power Failures,Protection measures shall be put into place to react to natural and man-made threats based upon a geographically-specific business impact assessment.
BCR,9,Business Continuity Management & Operational Resilience - Impact Analysis,"There shall be a defined and documented method for determining the impact of any disruption to the organization (cloud provider, cloud consumer) that must incorporate the following: 
 - Identify critical products and services 
 - Identify all dependencies, including processes, applications, business partners, and third party service providers 
 - Understand threats to critical products and services 
 - Determine impacts resulting from planned or unplanned disruptions and how these vary over time 
 - Establish the maximum tolerable period for disruption 
 - Establish priorities for recovery 
 - Establish recovery time objectives for resumption of critical products and services within their maximum tolerable period of disruption 
 - Estimate the resources required for resumption"
