primary_id,sub_id,Name,Description
164,306(a) (1),General Requirements - CIA,"Covered entities and business associates must do the following: Ensure the confidentiality, integrity, and availability of all electronic protected health information the covered entity or business associate creates, receives, maintains, or transmits."
164,306(a) (2),General Requirements - Protect Against Threats or Hazards,Covered entities and business associates must do the following: Protect against any reasonably anticipated threats or hazards to the security or integrity of such information.
164,306(a) (3),General Requirements - Protect Against Unauthorized Uses or Disclosures,Covered entities and business associates must do the following: Protect against any reasonably anticipated uses or disclosures of such information that are not permitted or required under subpart E of this part.
164,306(a) (4),General Requirements - Compliance with this Subpart,Covered entities and business associates must do the following: Ensure compliance with this subpart by its workforce.
164,306(e) (1),Maintenance,"A covered entity or business associate must review and modify the security measures implemented under this subpart as needed to continue provision of reasonable and appropriate protection of electronic protected health information, and update documentation of such security measures in accordance with § 164.316(b)(2)(iii)."
164,308(a) (1)(i),Security Management Process,"Implement policies and procedures to prevent, detect, contain and correct security violations."
164,308(a) (1)(ii)(A),Risk Analysis,"Conduct an accurate and thorough assessment of the potential risks and vulnerabilities to the confidentiality, integrity, and availability of electronic protected health information held by the covered entity."
164,308(a) (1)(ii)(B),Risk Management,Implement security measures sufficient to reduce risks and vulnerabilities to a reasonable and appropriate level to comply with Sec 164.306(a).
164,308(a) (1)(ii)(C),Sanction Policy,Apply appropriate sanctions against workforce members who fail to comply with the security policies and procedures of the covered entity.
164,308(a) (1)(ii)(D),Information System Activity Review,"Implement procedures to regularly review records of information system activity, such as audit logs, access reports, and security incident tracking reports."
164,308(a) (2),Assigned Security Responsibility,Identify the security official who is responsible for the development and implementation of the policies and procedures required by this subpart for the entity.
164,308(a) (3)(i),Workforce Security,"Implement policies and procedures to ensure that all members of its workforce have appropriate access to electronic protected health information, as provided under paragraph (a)(4) of this section, and to prevent those workforce members who do not have access under paragraph (a)(4) of this section from obtaining access to electronic protected health information."
164,308(a) (3)(ii)(A),Authorization and/or Supervision,Implement procedures for authorization and/or supervision of workforce members who work with electronic protected health information or in locations where it might be accessed.
164,308(a) (3)(ii)(B),Workforce Clearance Procedure,Implement procedures to determine that the access of a workforce member to electronic protected health information is appropriate.
164,308(a) (3)(ii)(C),Termination Procedures,Implement procedures for terminating access to electronic protected health information when the employment of a workforce member ends or as required by determination made as specified in paragraph (a)(3)(ii)(B) of this section.
164,308(a) (4)(i),Information Access Management,Implement policies and procedures for authorizing access to electronic protected health information that are consistent with the applicable requirements of subpart E of this part.
164,308(a) (4)(ii)(A),Isolation Health Clearinghouse Functions,"If a health care clearinghouse is part of a larger organization, the clearinghouse must implement polices and procedures that protect the electronic protected health information of the clearinghouse from unauthorized access by the larger organization."
164,308(a) (4)(ii)(B),Access Authorization,"Implement policies and procedures for granting access to electronic protected health information, for example, through access to a workstation, transaction, program, process or other mechanism."
164,308(a) (4)(ii)(C),Access Establishment and Modification,"Implement policies and procedures that, based upon the entity's access authorization policies, establish, document, review, and modify a user's right of access to a workstation, transaction, program, or process."
164,308(a) (5)(i),Security Awareness Training,Implement a security awareness and training program for all members of its workforce (including management).
164,308(a) (5)(ii)(A),Security Reminders,Conduct periodic security updates.
164,308(a) (5)(ii)(B),Protection from Malicious Software,"Ensure documentation and implementation of procedures for guarding against, detecting, and reporting malicious software."
164,308(a) (5)(ii)(C),Log-in Monitoring,Ensure documentation and implementation of procedures for monitoring log-in attempts and reporting discrepancies.
164,308(a) (5)(ii)(D),Password Management,"Ensure documentation and implementation of procedures for creating, changing, and safeguarding passwords."
164,308(a) (6)(i),Security Incident Procedures,Implement policies and procedures to address security incidents.
164,308(a) (6)(ii),Response and Reporting,"Identify and respond to suspected or known security incidents and mitigate, to the extent practicable, harmful effects of security incidents that are known to the entity and document security incidents and their outcomes."
164,308(a) (7)(i),Contingency Plan,"Establish (and implement as needed) policies and procedures for responding to an emergency or other occurrence (for example, fire, vandalism, system failure, and natural disaster) that damages systems that contain electronic protected health information."
164,308(a) (7)(ii)(A),Data Backup Plan,Establish and implement procedures to create and maintain retrievable exact copies of electronic protected health information.
164,308(a) (7)(ii)(B),Disaster Recovery Plan,Establish (and implement as needed) procedures to restore loss of data.
164,308(a) (7)(ii)(C),Emergency Mode Operation Plan,Establish (and implement as needed) procedures to enable continuation of critical business processes for protection of the security of electronic protected health information while operating in emergency mode.
164,308(a) (7)(ii)(D),Testing and Revision Procedures,Implement procedures for periodic testing and revision of contingency plans.
164,308(a) (7)(ii)(E),Applications and Data Criticality Analysis,Assess the relative criticality of specific applications and data in support of other contingency plan components.
164,308(a) (8),Evaluation,"Perform a periodic technical and nontechnical evaluation, based initially upon the standards implemented under this rule and subsequently, in response to environmental or operational changes affecting the security of electronic protected health information, that established the extent to which an entity's security policies and procedures meet the requirements of this subpart."
164,308(b) (1),Business Associate Contracts and Other Arrangements,"A covered entity may permit a business associate to create, receive, maintain, or transmit electronic protected health information on the covered entity's behalf only if the covered entity obtains satisfactory assurances, in accordance with § 164.314(a), that the business associate will appropriately safeguard the information. A covered entity is not required to obtain such satisfactory assurances from a business associate that is a subcontractor."
