primary_id,sub_id,Name,Description
4,1, Understanding The Organization and Its Context,"The organization shall determine external and internal issues that are relevant to its purpose and that affect its ability to achieve the intended outcome(s) of its BCMS.
 Note: These issues will be influenced by the organization's overall objectives, its products and services and the amount and type of risk that it may or may not take."
4,2.1.a,Understanding The Needs and Expectations of Interested Parties - Management System,The organization shall determine the interested parties that are relevant to the business continuity management system.
4,2.1.b,Understanding The Needs and Expectations of Interested Parties - Business Continuity,"The organization shall determine the requirements of these interested parties relevant to business continuity.
NOTE: The requirements of interested parties may include legal and regulatory requirements and contractual obligations. "
4,2.2.a,Understanding The Legal and Regulatory Requirements - Business Continuity,"The organization shall establish, implement, and maintain a process to identify, have access to, and assess the applicable legal and regulatory requirements related to the continuity of its products and services, activities and resources."
4,2.2.b,Understanding The Legal and Regulatory Requirements - Management System,"The organization shall ensure that applicable legal, regulatory and other requirements are taken into account in implementing and maintaining its BCMS."
4,2.2.c,Understanding The Legal and Regulatory Requirements - Documentation,"The organization shall ensure that applicable legal, regulatory and other requirements are documented and kept up to date. "
4,3,Business Continuity Scope Determination,"The organization shall determine the boundaries and applicability of the business continuity management system to establish its scope. 
This scope shall be available as documented information."
4,3.1.a,Business Continuity Scope Determination - External and Internal Issues,"When determining the scope of the business continuity management system, the organization shall consider the external and internal issues referred to in Requirement 4.1 (Understanding the organization and its context)"
4,3.1.b,Business Continuity Scope Determination - Requirements of 4.2,When determining the scope of the business continuity management system the organization shall consider the requirements referred to in Requirement 4.2 (Understanding the needs and expectations of interested parties)
4,3.1.c,Business Continuity Scope Determination - Interfaces and Dependencies,"When determining the scope of the business continuity management system, the organization shall consider its mission, goals, and internal and external obligations."
4,3.2,Scope of The Business Continuity Management System,"The organization shall when defining the scope document and explain exclusions. They shall not affect the organization's ability and responsibility to provide business continuity, as determined by the business impact analysis or risk assessment and applicable legal or regulatory requirements."
4,3.2.a,Scope of The Business Continuity Management System - Scope Inclusion ,"The organization shall establish the parts of the organization to be included in the BCMS, taking into account its location(s), size, nature and complexity."
4,3.2.b,Scope of The Business Continuity Management System - Products and Services ,The organization shall identify products and services to be included in the BCMS. 
4,4,Business Continuity Management System,"The organization shall establish, implement, maintain, and continually improve an business continuity management system, including the processes needed and their interactions, in accordance with the requirements of this document."
5,1.a,Leadership and Commitment - Establish Policy,Top management shall demonstrate leadership and commitment with respect to the business continuity management system by ensuring the business continuity policy and the business continuity objectives are established and are compatible with the strategic direction of the organization.
5,1.b,Leadership and Commitment - Integration,Top management shall demonstrate leadership and commitment with respect to the business continuity management system by ensuring the integration of the business continuity management system requirements into the organization's processes.
5,1.c,Leadership and Commitment - Resources,Top management shall demonstrate leadership and commitment with respect to the business continuity management system by ensuring that the resources needed for the business continuity management system are available.
5,1.d,Leadership and Commitment - Communication,Top management shall demonstrate leadership and commitment with respect to the business continuity management system by communicating the importance of effective business continuity management and of conforming to the business continuity management system requirements.
5,1.e,Leadership and Commitment - Achievement,Top management shall demonstrate leadership and commitment with respect to the business continuity management system by ensuring the business continuity management system achieves its intended outcome(s).
5,1.f,Leadership and Commitment - Support,Top management shall demonstrate leadership and commitment with respect to the business continuity management system by directing and supporting persons to contribute to the effectiveness of the business continuity management system.
5,1.g,Leadership and Commitment - Continual Improvement,Top management shall demonstrate leadership and commitment with respect to the business continuity management system by promoting continual improvement.
5,1.h,Leadership and Commitment - Demonstrate,Top management shall demonstrate leadership and commitment with respect to the business continuity management system by supporting other relevant management roles to demonstrate their leadership as it applies to their areas of responsibility.
5,"2.a, 2.b, 2.c, 2.d, 2.2.a","Policy Establishment - Appropriateness, Objectives,  Commitment to Satisfy, Commitment to Continually Improve, Documented","Top management shall establish an business continuity policy that is appropriate to the purpose of the organization and includes business continuity objectives or provides the framework for setting business continuity objectives, includes a commitment to satisfy applicable requirements related to business continuity, and includes a commitment to the continual improvement of the business continuity management system. The business continuity policy shall be available as documented information."
5,2.2.b,Policy Establishment - Communication,The business continuity policy shall be communicated within the organization.
5,2.2.c,Policy Establishment - Availability to Others,"The business continuity policy shall be available to interested parties, as appropriate."
5,3,"Roles, Responsibilities, and Authorities",Top management shall ensure that the responsibilities and authorities for roles relevant to business continuity are assigned and communicated.
5,3.a,"Roles, Responsibilities, and Authorities - Conformity",Top management shall assign responsibility and authority for ensuring that the business continuity management system conforms to the requirements of this International Standard.
5,3.b,"Roles, Responsibilities, and Authorities - Reporting",Top management shall assign the responsibility and authority for reporting on the performance of the business continuity management system to top management. 
6,"1.1.a, 1.1.b, 1.1.c","Address Risks and Opportunities - Planning for Success, Reduce Undesired Effects, Achieve Continual Improvement","When planning for the business continuity management system, the organization shall consider the issues referred to in Requirements 4.1 (Understanding the organization and its context) and 4.2 (Understanding the needs and expectations of interested parties), and determine the risks and opportunities that need to be addressed to ensure the business continuity management system can achieve its intended outcome(s), prevent or reduce undesired effects, and achieve continual improvement."
6,1.2.a,Address Risks and Opportunities - Plan to Address Risks,"When planning for the business continuity management system, the organization shall plan actions to address risks and opportunities."
6,1.2.b.1,Address Risks and Opportunities - Plan to Integrate Process,"When planning for the business continuity management system, the organization shall plan how to integrate and implement the actions into its business continuity management system processes."
6,1.2.b.2,Address Risks and Opportunities - Plan to Evaluate,"When planning for the business continuity management system, the organization shall plan how to evaluate the effectiveness of these actions."
6,2,Business Continuity Objectives,The organization shall establish business continuity objectives at relevant functions and levels. The organization shall retain documented information on the business continuity objectives.
6,"2.1.a, 2.1.b, 2.1.c, ","Business Continuity Objectives - Consistent With Policies, Measurable, Account Other Requirements","The organizations business continuity objectives shall be consistent with the business continuity policy, shall be measurable (if practicable), and shall take into account applicable business continuity requirements."
6,2.1.d,Business Continuity Objectives - Monitored,The organizations business continuity objectives shall be monitored.
6,2.1.e,Business Continuity Objectives - Communicated,The organizations business continuity objectives shall be communicated.
6,2.1.f,Business Continuity Objectives - Updated,The organizations business continuity objectives shall be updated as appropriate.
6,2.2.a,Business Continuity Objectives Planning - Tasks,"When planning how to achieve its business continuity objectives, the organization shall determine what will be done."
6,2.2.b,Business Continuity Objectives Planning - Resources,"When planning how to achieve its business continuity objectives, the organization shall determine what resources will be required."
6,2.2.c,Business Continuity Objectives Planning - Responsibilities,"When planning how to achieve its business continuity objectives, the organization shall determine who will be responsible."
6,2.2.d,Business Continuity Objectives Planning - Timeline,"When planning how to achieve its business continuity objectives, the organization shall determine when it will be completed."
6,2.2.e,Business Continuity Objectives Planning - Results Evaluation,"When planning how to achieve its business continuity objectives, the organization shall determine how the results will be evaluated."
6,3,Planning Changes To The Business Continuity Management System,"When the organization determines the need for changes to the BCMS, including those identified to take corrective action and for continual improvement, the changes shall be carried out in a planned manner.
The organization shall consider:
a) the purpose of the changes and their potential consequences;
b) the integrity of the BCMS;
c) the availability of resources;
d) the allocation or reallocation of responsibilities and authorities."
7,1,Resources,"The organization shall determine and provide the resources needed for the establishment, implementation, maintenance, and continual improvement of the business continuity management system."
7,2.a,Competence - Necessary Competency,The organization shall determine the necessary competence of person(s) doing work under its control that affects its business continuity performance.
7,2.b,Competence - Appropriate Training and Education,"The organization shall ensure these persons are competent on the basis of appropriate education, training, or experience."
7,2.c,Competence - Evaluate Effectiveness,"The organization shall, where applicable, take actions to acquire the necessary competence, and evaluate the effectiveness of the actions taken. 
 Note: Applicable actions may include, for example: the provision of training to, the mentoring of, or the re-assignment of current employees; or the hiring or contracting of competent persons."
