primary_id,sub_id,Name,Description,required_evidence
4,1,Understanding the organization and its context,"The organization shall determine external and internal issues that are relevant to its purpose and that affect its ability to achieve the intended outcome(s) of its information security management system. 
 Note: Determining these issues refers to establishing the external and internal context of the organization considered in Clause 5.3 of ISO 31000:2009",Understanding the organization & its context
4,2.a,Understanding the needs and expectations of interested parties - Management System,The organization shall determine the interested parties that are relevant to the information security management system.,Understanding the organization & its context
4,2.b,Understanding the needs and expectations of interested parties - Information Security,"The organization shall determine the requirements of these interested parties relevant to information security.
NOTE: The requirements of interested parties may include legal and regulatory requirements and contractual obligations. ",Understanding the organization & its context
4,3,Information Security Scope Determination,"The organization shall determine the boundaries and applicability of the information security management system to establish its scope. 
 This scope shall be available as documented information.",ISMS scope 
4,3.a,Information Security Scope Determination - External and Internal Issues,"When determining the scope of the information security management system, the organization shall consider the external and internal issues referred to in Requirement 4.1 (Understanding the organization and its context)",ISMS scope 
4,3.b,Information Security Scope Determination - Requirements of 4.2,When determining the scope of the information security management system the organization shall consider the requirements referred to in Requirement 4.2 (Understanding the needs and expectations of interested parties),ISMS scope 
4,3.c,Information Security Scope Determination - Interfaces and Dependencies,"When determining the scope of the information security management system, the organization shall consider interfaces and dependencies between activities performed by the organization, and those that are performed by other organizations.",ISMS scope 
4,4,Information Security Management System,"The organization shall establish, implement, maintain, and continually improve an information security management system, in accordance with the requirements of this International Standard.",ISMS policy 
5,1.a,Leadership and Commitment - Establish Policy,Top management shall demonstrate leadership and commitment with respect to the information security management system by ensuring the information security policy and the information security objectives are established and are compatible with the strategic direction of the organization.,ISMS policy 
5,1.b,Leadership and Commitment - Integration,Top management shall demonstrate leadership and commitment with respect to the information security management system by ensuring the integration of the information security management system requirements into the organization's processes.,ISMS policy 
5,1.c,Leadership and Commitment - Resources,Top management shall demonstrate leadership and commitment with respect to the information security management system by ensuring that the resources needed for the information security management system are available.,ISMS policy 
5,1.d,Leadership and Commitment - Communication,Top management shall demonstrate leadership and commitment with respect to the information security management system by communicating the importance of effective information security management and of conforming to the information security management system requirements.,ISMS policy 
5,1.e,Leadership and Commitment - Achievement,Top management shall demonstrate leadership and commitment with respect to the information security management system by ensuring the information security management system achieves its intended outcome(s).,ISMS policy 
5,1.f,Leadership and Commitment - Support,Top management shall demonstrate leadership and commitment with respect to the information security management system by directing and supporting persons to contribute to the effectiveness of the information security management system.,ISMS policy 
5,1.g,Leadership and Commitment - Continual Improvement,Top management shall demonstrate leadership and commitment with respect to the information security management system by promoting continual improvement.,ISMS policy 
5,1.h,Leadership and Commitment - Demonstrate,Top management shall demonstrate leadership and commitment with respect to the information security management system by supporting other relevant management roles to demonstrate their leadership as it applies to their areas of responsibility.,ISMS policy 
5,"2.a, 2.b, 2.c, 2.d, 2.e","Policy Establishment - Appropriateness, Objectives,  Commitment to Satisfy, Commitment to Continually Improve, Documented","Top management shall establish an information security policy that is appropriate to the purpose of the organization and includes information security objectives or provides the framework for setting information security objectives, includes a commitment to satisfy applicable requirements related to information security, and includes a commitment to the continual improvement of the information security management system. The information security policy shall be available as documented information.",ISMS policy 
5,2.f,Policy Establishment - Communication,The information security policy shall be communicated within the organization.,ISMS policy 
5,2.g,Policy Establishment - Availability to Others,"The information security policy shall be available to interested parties, as appropriate.",5.2 ISMS Policy 
5,3,"Roles, Responsibilities, and Authorities",Top management shall ensure that the responsibilities and authorities for roles relevant to information security are assigned and communicated.,"ISMS roles, responsibilities, and authorities"
