primary_id,sub_id,Name,Description
4,1,Basic concepts and principles,The organization should define the basic concepts and principles of information security incidents and vulnerabilities. 
4,1,Basic concepts and principles,The organization should establish relationships or partnerships with external IRTs to enhance the ability to respond and resolve incidents. 
4,2,Objectives of incident management,"As a key part of an organizations overall information security strategy, the organization should put controls and procedures in place to enable a structured well-planned approach to the management of information security incidents. The  business and operational perspectives should have a major influence in determining more specific objectives for information security management. "
4,2.a,Objectives of incident management - Efficiency ,"More specific objectives of a structured well-planned approach to incident management should include the objective that information security events are detected and dealt with efficiently, in particular deciding when they should be classified as information security incidents."
4,2.b,Objectives of incident management - Assessment & Response ,More specific objectives of a structured well-planned approach to incident management should include the objective that identified information security incidents are assessed and responded to in the most appropriate and efficient manner.
4,2.c,Objectives of incident management - Minimize Adverse Effects,More specific objectives of a structured well-planned approach to incident management should include the objective that the adverse effects of information security incidents on the organization and its operations are minimized by appropriate controls as part of incident response.
4,2.d,Objectives of incident management - Link with Business Continuity & Crisis Management ,More specific objectives of a structured well-planned approach to incident management should include the objective that there is a link between information security incidents management with relevant elements from crisis management and business continuity management through an escalation process is established.
4,2.e,Objectives of incident management - Assessment of Vulnerabilities,"More specific objectives of a structured well-planned approach to incident management should include the objective that information security vulnerabilities are assessed and dealt with appropriately to prevent or reduce incidents. This assessment can be done either by the IRT or other teams within the organization, depending on duty distribution."
4,2.f,Objectives of incident management - Lessons Learnt,"More specific objectives of a structured well-planned approach to incident management should include the objective that lessons are learnt quickly from information security incidents, vulnerabilities and their management. This feedback mechanism is intended to increase the chances of preventing future
information security incidents from occurring, improve the implementation and use of information security controls, and improve the overall information security incident management plan."
4,3,Benefits of a structured approach,"The organization should address and communicate the benefits of having a structured approach for information security incident management to:
a) Improve overall information security
b) Reduce adverse business impacts
c) Strengthen the focus on information security incident prevention
d) Improve prioritization
e) Support evidence collection and investigation
f) Contribute to budget and resource justifications
g) Improve updates to information security risk assessment and management results
h) Provide enhanced information security awareness and training program material
i) Provide input to the information security policy and related documentation reviews"
4,4.a,Adaptability - Business Nature,"The organization should retain a sense of perspective and ensure that the resources applied to information security incident management and the complexity of the mechanisms implemented are proportional to the size, structure and business nature of an organization including key critical assets, processes, and data that should be protected."
4,4.b,Adaptability - ISMS scope ,The organization should retain a sense of perspective and ensure that the resources applied to information security incident management and the complexity of the mechanisms implemented are proportional to the scope of any information security management system for incident handling.
4,4.c,Adaptability - Potential Risks,The organization should retain a sense of perspective and ensure that the resources applied to information security incident management and the complexity of the mechanisms implemented are proportional to the potential risk due to incidents.
4,4.d,Adaptability - Business Goals,The organization should retain a sense of perspective and ensure that the resources applied to information security incident management and the complexity of the mechanisms implemented are proportional to the goals of the business.
5,1,Overview ,"To achieve the defined objectives, the organization should consider defining the phases of information security management as follows:
- Plan and prepare 
- Detection and reporting 
- Assessment and decision
- Responses
- Lessons learnt"
5,2.a,Plan and Prepare - Information Security Incident Management Policy,"For an efficient and effective information security incident management plan to be put into operation, an organization should formulate and produce an information security incident management policy and gain top management commitment to that policy."
5,2.b,Plan and Prepare - Update Information Security Policies,"For an efficient and effective information security incident management plan to be put into operation, an organization should update information security policies, including those related to risk management, at a corporate level and specific system, service and network levels."
5,2.c,Plan and Prepare - Information Security Incident Management Plan,"For an efficient and effective information security incident management plan to be put into operation, an organization should define and document a detailed information security incident management plan, including topics covering communications and information disclosure."
5,2.d,Plan and Prepare - Establish Incident Response Team (IRT),"For an efficient and effective information security incident management plan to be put into operation, an organization should establish the IRT, with an appropriate training program designed, developed, and provided to its personnel."
5,2.e,Plan and Prepare - Establish Connections,"For an efficient and effective information security incident management plan to be put into operation, an organization should establish and preserve appropriate relationships and connections with internal and external organizations that are directly involved in information security event, incident and vulnerability management."
5,2.f,Plan and Prepare - Technical & Operational Mechanisms,"For an efficient and effective information security incident management plan to be put into operation, an organization should establish, implement and operate technical, organizational and operational mechanisms to support the information security incident management plan and the work of the IRT. Develop and deploy necessary information systems to support the IRT, including an information security database. These mechanisms and systems are intended to prevent information security incident occurrences or reduce the likelihood of occurrences of information security incidents."
5,2.g,Plan and Prepare - Awareness & Training,"For an efficient and effective information security incident management plan to be put into operation, an organization should design and develop an awareness and training program for information security event, incident and vulnerability management"
5,2.h,Plan and Prepare - Test the Information Security Incident Management Plan,"For an efficient and effective information security incident management plan to be put into operation, an organization should test the use of the information security incident management plan, its processes and procedures."
5,3,Detection and Reporting,The organization should ensure that all information collected pertaining to an information security event or vulnerability should be stored in the information security database managed by the IRT.
5,3.a,Detection and Reporting - Monitor & Log,"For the Detection and Reporting phase, an organization should monitor and log system and network activity of constituency or parent organizations as appropriate."
5,3.b,Detection and Reporting - Detect & Report,"For the Detection and Reporting phase, an organization should detect and report the occurrence of an information security event or the existence of an information security vulnerability, whether manually by personnel or automatically."
5,3.c,Detection and Reporting - Collect Information,"For the Detection and Reporting phase, an organization should collect information on an information security event or vulnerability."
5,3.d,Detection and Reporting - Situational Awareness,"For the Detection and Reporting phase, an organization should collect situational awareness information from internal and external data sources including local system and network traffic and activity logs, news feeds concerning ongoing political, social, or economic activities that might impact incident activity, external feeds on incident trends, new attack vectors, current attack indicators and new mitigation strategies and technologies."
5,3.e,Detection and Reporting - Log Activities & Results,"For the Detection and Reporting phase, an organization should ensure that all activities, results and related decisions are properly logged for later analysis."
5,3.f,Detection and Reporting - Gather Digital Evidence,"For the Detection and Reporting phase, an organization should ensure that digital evidence is gathered and stored securely, and that its secure preservation is continually monitored, in case the evidence is required for legal prosecution or internal disciplinary action."
5,3.g,Detection and Reporting - Follow Change Control,"For the Detection and Reporting phase, an organization should ensure that a change control regime is followed to enable information security event and vulnerability tracking and report updates, and to keep the information security database up-to-date."
5,3.h,Detection and Reporting - Escalate,"For the Detection and Reporting phase, an organization should escalate, on an as-needed basis throughout the phase, for further review or decisions."
5,4.a,Assessment and Decision - Distribute Responsibility,"Once an information security event has been detected and reported, the organization should distribute the responsibility for information security incident management activities through an appropriate hierarchy of personnel with assessment, decision making and actions involving both security and non-security personnel."
