primary_id,sub_id,Name,Description
1,1.1.1,Board of Directors - Acceptance and Commitment ,The board of directors should accept the responsibility of information security and present commitment towards it.
1,1.1.2,Board of Directors - Overseeing the Information Security Program,The entity's board of directors is assigned the responsibility of overseeing a properly managed and implemented information security program/management system and reviewing risk assessment reports.
1,1.2.1,Director General / CEO - Accept & Endorse ,The CEO or Director General who might be reporting to the board of directors has responsibility for accepting and endorsing the overall responsibility of information security.
1,1.2.2,Director General / CEO - Enforce ISMS,The CEO or Director General who might be reporting to the board of directors has responsibility for enforcing organization wide information security management system.
1,1.2.3,Director General / CEO - Enforce Information Security Policies,The CEO or Director General who might be reporting to the board of directors has responsibility for enforcing information security policies implementation across the entity.
1,1.2.4,Director General / CEO - Overseeing & Monitoring,The CEO or Director General who might be reporting to the board of directors has responsibility for overseeing and monitoring divisions compliance to information security management system and information security policies. 
1,1.2.5,Director General / CEO - Enforcing Accountability ,The CEO or Director General who might be reporting to the board of directors has responsibility for enforcing accountability towards information security
1,1.3,Information Security Steering Committee - Establishment,"An information security steering committee, headed by Director General or deputy, should be established and should include heads from each division in the entity."
1,1.3.1,Information Security Steering Committee - Supervise ,The steering committee should supervise and ensure the implementation of an Information Security Management System
1,1.3.2,Information Security Steering Committee - Periodical Implementation Reviews,The steering committee should conduct periodical reviews on the implementation of Information Security Regulation and any information security controls and objectives.
1,1.3.3,Information Security Steering Committee - Review & Approve, The steering committee should review and approve periodically the information security policies and procedures for implementation within the entity.
1,1.3.4,Information Security Steering Committee - Promote Culture Change,The steering committee should promote Information Security culture within Entity
1,1.3.5,Information Security Steering Committee - Integrate with Business Processes,The steering committee should ensure that relevant information security methodologies are part of all business processes and any new initiatives or projects across all the entity departments or functions. 
1,1.3.6,Information Security Steering Committee - Follow up & Review Audits, The steering committee should follow up and review both internal and external audits results for effectiveness of Information Security Regulation implementation and ensure necessary and timely corrective actions are taken. 
1,1.3.7,Information Security Steering Committee - Review & Approve Risk Assessment Methodology,The steering committee should review and approve the information security risk assessment methodology and risk assessment related results that is used across the entity.
1,1.3.8,Information Security Steering Committee - Provide ISMS Resources,"The steering committee should ensure that adequate resources are provided to implement, support and operate the information security management system. "
1,1.3.9,Information Security Steering Committee - Provide ISR Resources,The steering committee should ensure that adequate resources are provided for ISR Implementation
1,1.3.10,Information Security Steering Committee - Recommend Corrective & Preventive Actions , The steering committee should make recommendations for both corrective and preventive actions based on the risk assessment approach. 
1,1.3.11,Information Security Steering Committee - Review Incidents,The steering committee should review the Information Security Incidents and their responses
