primary_id,sub_id,Name,Description
3,3.1-11.5.1.1,Risk Assessments - Standard Method,Risk Assessment Model shall be based upon on a standard method (e.g. CERT OCTAVE [4]).
3,3.1-11.5.2.1,Risk Assessments - Identified Assets,Risk Assessment shall be completed. Ensure that the assets (digital or physical) that need to be protected have been identified.
3,3.1-11.5.2.2,Risk Assessments - Identified Risk Factors,Risk Assessment shall be completed. Ensure that the risk factors have been identified that affect the processes.
3,3.1-11.5.2.3,Risk Assessments - Identified Threat Agents,Risk Assessment shall be completed. Ensure that the threat agents have been identified.
3,3.1-11.5.2.4,Risk Assessments - Vulnerability Assessment,Risk Assessment shall be completed. Ensure that the a vulnerability assessment has been identified. 
3,3.1-11.5.2.5,Risk Assessments - Security and Safety Impacts,"Risk Assessment shall be completed. Ensure that the security and safety impacts of the protected assets being compromised for the organization, the partners and the clients have been evaluated."
3,3.1-11.5.2.6,Risk Assessments - Chosen Risk Models,Risk Assessment shall be completed. Ensure that the organisations chosen risk models assess the probability of the assets being compromised.
3,3.1-11.5.3.1,"Risk Assessments - Process to Identify, Detect, Mitigate and Contain Risks and Vulnerabilities","Ensure that there are processes to address evolving/future risks and vulnerabilities. Ensure that a a process to identify, detect, mitigate and contain evolving/future risks and vulnerabilities is implemented."
3,3.1-11.5.3.2,Risk Assessments - Incident Response,"Ensure documentation & implementation of processes to address evolving/future risks and vulnerabilities. Also, ensure documentation & implementation of a process in place for incident response."
3,3.1-11.5.3.3,Risk Assessments - Manage Security Updates from Suppliers,Ensure documentation & implementation of processes to address evolving/future risks and vulnerabilities. Ensure implementation of a process to manage security updates from our suppliers (e.g. hardware and software providers) and/or provide security updates to our partners.
3,3.1-11.5.3.4,Risk Assessments - Share Vulnerability or Incident Information,Ensure documentation & implementation of processes to address evolving/future risks and vulnerabilities. We have implemented a process to share vulnerability or incident information with affected stakeholders as mandated by regulations.
3,3.1-11.5.3.5,Risk Assessments - CVD Programmes,"Do you have processes to address evolving/future risks and vulnerabilities? We support industry Coordinated Vulnerability Disclosure (CVD) programmes such as the GSMAs CVD scheme for mobile network infrastructure, devices and smart cards."
3,3.1-11.6.1.1,Privacy Considerations - Privacy Compliance Process,The organisation shall have a privacy compliance process. Ensure implementation of a privacy compliance process within our product/service development lifecycle.
3,3.1-11.6.1.2,Privacy Considerations - Privacy Impact Assessment,"The organisation shall have a privacy compliance process. Perform a privacy impact assessment of the protected assets being compromised for the organization, the partners and the clients."
3,3.1-11.6.1.3,Privacy Considerations - Risk Analysis,"The organisation shall have a privacy compliance process. Conduct a risk analysis, adapted to the sensitivity of data processing, in order to ensure adequate protection measures are implemented."
3,3.1-11.6.1.4,Privacy Considerations - Documented Data Protection Measures,The organisation shall have a privacy compliance process. Ensure documentation of the data protection measures to demonstrate compliance throughout the life cycle of our data processing.
3,3.1-11.6.2.1,"Privacy Considerations - Identified Entities Collecting, Storing, Sharing and Using Personal Data","Ensure that there are processes to identify the sources of personal data. Identify which entities are collecting, storing, sharing and using personal data."
3,3.1-11.6.2.2,Privacy Considerations - Identified Local and Acquired Sources,Ensure that there are processes to identify the sources of personal data. Identify local and acquired sources of personal data.
3,3.1-11.6.2.3,Privacy Considerations - Identified When and Why Data is Collected,Ensure that there are processes to identify the sources of personal data. Identify when and why personal data is being collected.
3,3.1-11.6.2.4,Privacy Considerations - Right Questions,"Ensure that there are processes to identify the sources of personal data. For any personal data processing, ensure to ask yourselves the right questions (e.g. used a privacy checklist) and in the case of any doubt, ensure to contact the security and legal support team and clarified any issues."
3,3.1-11.6.3.1,Privacy Considerations - Process to Ensure Privacy,Ensure that there are compliant processes to protect personal data. Implement a process to ensure the privacy (not just the security) of personal data.
3,3.1-11.6.3.2,Privacy Considerations - Technical and Organisational Measures,"Ensure that there are compliant processes to protect personal data. Implement appropriate technical and organisational measures, such as data pseudonymisation, and data minimisation, in an effective manner and have integrated the necessary safeguards into our data processing."
3,3.1-11.6.3.3,Privacy Considerations - Compliant with Privacy Laws,Ensure that there are compliant processes to protect personal data. Ensure compliance with all privacy laws that govern user control over the personal data.
3,3.1-11.6.3.4,Privacy Considerations - Compliant with Relevant Data Protection Laws,Ensure that there are compliant processes to protect personal data. Ensure compliance with all relevant data protection laws for the territories in which the product/service will be available.
3,3.1-11.6.3.5,Privacy Considerations - Roles and Responsibilities,Ensure that there are compliant processes to protect personal data. Identify and document the roles and the responsibilities of the actors involved in the implementation of the data processing.
3,3.1-11.6.4.1,Privacy Considerations - Adhere to Lawful Interception Laws,Ensure to understand all the lawful interception responsibilities. The service shall be designed to adhere to the lawful interception laws that apply to the territory in which our service has been deployed.
