primary_id,sub_id,Name,Description
1,1.1,Cybersecurity Strategy - Critical Systems,"In addition to the controls in ECC subdomain 1-1, the organizations cybersecurity strategy must prioritize the support of protecting its critical systems."
1,2.1,Cybersecurity Risk Management - Methodology,"In addition to the controls in ECC subdomain 1-5, cybersecurity risk management methodology must include at least the following:

- Conducting a cybersecurity risk assessment on critical systems at least once annually.

- Creating a cybersecurity risk register for critical systems, and reviewing it at least once every month."
1,3.1.1,Cybersecurity in Information and Technology Project Management - Stress test,"In addition to the subcontrols in ECC control 1-6-2, cybersecurity requirements of project management and asset (information technology) change management of the organizations critical systems must include at least the following:

- Conducting a stress test to ensure the capacity of the various components."
1,3.1.2,Cybersecurity in Information and Technology Project Management - Business Continuity,"In addition to the subcontrols in ECC control 1-6-2, cybersecurity requirements of project management and asset (information technology) change management of the organizations critical systems must include at least the following:

- Ensuring the implementation of business continuity requirements."
1,3.2.1,Cybersecurity in Information and Technology Project Management - Source code review,"In addition to the subcontrols in ECC control 1-6-3, cybersecurity requirements related to software and application development projects of the organizations critical systems must include at least the following:

- Conducting a security source code review before the critical system release."
1,3.2.3,Cybersecurity in Information and Technology Project Management - Source code access,"In addition to the subcontrols in ECC control 1-6-3, cybersecurity requirements related to software and application development projects of the organizations critical systems must include at least the following:

- Securing the access, storage, documentation and releases of source code."
1,3.2.3,Cybersecurity in Information and Technology Project Management - API,"In addition to the subcontrols in ECC control 1-6-3, cybersecurity requirements related to software and application development projects of the organizations critical systems must include at least the following:

- Securing the authenticated Application Programming Interface (API)."
1,3.2.4,Cybersecurity in Information and Technology Project Management - Environments,"In addition to the subcontrols in ECC control 1-6-3, cybersecurity requirements related to software and application development projects of the organizations critical systems must include at least the following:

- Secure and trusted migration of applications from testing environments to production environments, along with deletion of any data, IDs or passwords related to the testing environment before the migration."
1,4.1,Periodical Cybersecurity Review and Audit - Execution,"With reference to ECC control 1-8-1, the organizations cybersecurity function must review the implementation of CSCC at least once annually. "
1,4.2,Periodical Cybersecurity Review and Audit - Non-conflict,"With reference to ECC control 1-8-2, the implementation of CSCC must be reviewed by independent parties within the organization, outside the cybersecurity function at least once every three years."
1,5.1.1,Cybersecurity in Human Resources - Screening,"In addition to the subcontrols in ECC control 1-9-3, personnel cybersecurity requirements prior to employment must include at least the following:

- Screening or vetting candidates for working on critical systems."
1,5.1.2,Cybersecurity in Human Resources - Saudi nationals,"In addition to the subcontrols in ECC control 1-9-3, personnel cybersecurity requirements prior to employment must include at least the following:

- The technical support and development positions for critical systems, must be filled with experienced Saudi professionals."
2,1.1.1,Asset Management - Inventory,"In addition to the controls in ECC subdomain 2-1, cybersecurity requirements for managing information technology assets must include at least the following:

- Maintaining an annually-updated inventory of critical systems assets."
2,1.1.2,Asset Management - Asset owners,"In addition to the controls in ECC subdomain 2-1, cybersecurity requirements for managing information technology assets must include at least the following:

- Identifying assets owners and involving them in the asset management lifecycle for critical systems."
2,2.1.1,Identity and Access Management - Remote access,"In addition to the subcontrols in ECC control 2-2-3, cybersecurity requirements for identity and access management of critical systems must include at least the following:

- Prohibiting remote access from outside the Kingdom of Saudi Arabia."
2,2.1.2,Identity and Access Management - Access attempts,"In addition to the subcontrols in ECC control 2-2-3, cybersecurity requirements for identity and access management of critical systems must include at least the following:

-  Restricting remote access from inside the Kingdom of Saudi Arabia and verifying each access attempt by the organizations security operations center, and continuously monitoring activities related to remote access."
2,2.1.3,Identity and Access Management - MFA,"In addition to the subcontrols in ECC control 2-2-3, cybersecurity requirements for identity and access management of critical systems must include at least the following:

- Using multi-factor authentication for all users."
2,2.1.4,Identity and Access Management - MFA for privileged users,"In addition to the subcontrols in ECC control 2-2-3, cybersecurity requirements for identity and access management of critical systems must include at least the following:

- Using multi-factor authentication for privileged users, and on systems utilized for managing critical systems stated in control 2-3-1-4."
2,2.1.5,Identity and Access Management - Password policy,"In addition to the subcontrols in ECC control 2-2-3, cybersecurity requirements for identity and access management of critical systems must include at least the following:

- Developing and implementing a high-standard and secure password policy."
2,2.1.6,Identity and Access Management - Secure methods,"In addition to the subcontrols in ECC control 2-2-3, cybersecurity requirements for identity and access management of critical systems must include at least the following:

- Utilizing secure methods and algorithms for storing and processing passwords, such as: Hashing functions."
2,2.1.7,Identity and Access Management - Service accounts,"In addition to the subcontrols in ECC control 2-2-3, cybersecurity requirements for identity and access management of critical systems must include at least the following:

- Securely managing service accounts for applications and systems, and disabling interactive login from these accounts."
2,2.1.8,Identity and Access Management - Database access,"In addition to the subcontrols in ECC control 2-2-3, cybersecurity requirements for identity and access management of critical systems must include at least the following:

- Prohibiting direct access and interaction with databases for all users except for database administrators. Users' access and interaction with databases must be through applications only, with consideration given to applying security solutions that limit or prohibit visibility of classified data to database administrators."
2,2.2,Identity and Access Management - Access rights review,"With reference to ECC subcontrol 2-2-3-5, user identities and access rights to critical systems must be reviewed at least once every three months."
2,3.1.1,Information Systems and Information Processing Facilities Protection - Whitelisting,"In addition to the subcontrols in ECC control 2-3-3, cybersecurity requirements for protecting critical systems and information processing facilities must include at least the following:

- Whitelisting of application and software operation files that are allowed to execute on servers hosting critical systems."
2,3.1.2,Information Systems and Information Processing Facilities Protection - End-point protection,"In addition to the subcontrols in ECC control 2-3-3, cybersecurity requirements for protecting critical systems and information processing facilities must include at least the following:

- Protecting servers hosting critical systems using end-point protection solutions that are approved by the organization.
"
2,3.1.3,Information Systems and Information Processing Facilities Protection - Patching,"In addition to the subcontrols in ECC control 2-3-3, cybersecurity requirements for protecting critical systems and information processing facilities must include at least the following:

- Applying security patches and updates at least once every month for external and internet-connected critical systems and at least once every three months for internal critical systems, in line with the organizations approved change management mechanisms.
"
2,3.1.4,Information Systems and Information Processing Facilities Protection - Network segmentation,"In addition to the subcontrols in ECC control 2-3-3, cybersecurity requirements for protecting critical systems and information processing facilities must include at least the following:

- Allocating specific workstations in an isolated network (Management Network), that is isolated from other networks or services (e.g., email service or internet), to be used by highly privileged accounts."
2,3.1.5,Information Systems and Information Processing Facilities Protection - Encrypted traffic,"In addition to the subcontrols in ECC control 2-3-3, cybersecurity requirements for protecting critical systems and information processing facilities must include at least the following:

- Encrypting the network traffic of non-console administrative access for all technical components of critical systems using secure encryption algorithms and protocols."
2,3.1.6,Information Systems and Information Processing Facilities Protection - Configuration,"In addition to the subcontrols in ECC control 2-3-3, cybersecurity requirements for protecting critical systems and information processing facilities must include at least the following:

- Reviewing critical systems configurations and hardening at least once every six months."
2,3.1.7,Information Systems and Information Processing Facilities Protection - Default credentials,"In addition to the subcontrols in ECC control 2-3-3, cybersecurity requirements for protecting critical systems and information processing facilities must include at least the following:

- Reviewing and changing default configurations, and ensuring the removal of hard-coded, backdoor and/or default passwords, where applicable."
2,3.1.8,Information Systems and Information Processing Facilities Protection - Unauthorized access,"In addition to the subcontrols in ECC control 2-3-3, cybersecurity requirements for protecting critical systems and information processing facilities must include at least the following:

- Protecting systems logs and critical files from unauthorized access, tampering, illegitimate modification and/or deletion.
"
2,4.1.1,Network Security Management - Segregation,"The cybersecurity requirements for network security management must be implemented. In addition to the subcontrols in ECC control 2-5-3, cybersecurity requirements of critical systems network security management must include at least the following:

- Logically and/or physically segregating and isolating critical systems' networks."
2,4.1.2,Network Security Management - Firewall rules,"The cybersecurity requirements for network security management must be implemented. In addition to the subcontrols in ECC control 2-5-3, cybersecurity requirements of critical systems network security management must include at least the following:

- Reviewing firewall rules and access lists, at least once every six months."
2,4.1.3,Network Security Management - Direct connection,"The cybersecurity requirements for network security management must be implemented. In addition to the subcontrols in ECC control 2-5-3, cybersecurity requirements of critical systems network security management must include at least the following:

- Prohibiting direct connection between local network devices and critical systems, unless those devices are scanned to ensure they have security controls that meet the acceptable security levels for critical systems."
2,4.1.4,Network Security Management - Wireless access,"The cybersecurity requirements for network security management must be implemented. In addition to the subcontrols in ECC control 2-5-3, cybersecurity requirements of critical systems network security management must include at least the following:

- Prohibiting critical systems from connecting to a wireless network."
2,4.1.5,Network Security Management - Advanced Persistent Threats,"The cybersecurity requirements for network security management must be implemented. In addition to the subcontrols in ECC control 2-5-3, cybersecurity requirements of critical systems network security management must include at least the following:

- Protecting against Advanced Persistent Threats (APT) at the network layer."
2,4.1.6,Network Security Management - Internet access,"The cybersecurity requirements for network security management must be implemented. In addition to the subcontrols in ECC control 2-5-3, cybersecurity requirements of critical systems network security management must include at least the following:

- Prohibiting connection to the internet for critical systems that provide internal services to the organization and have no strong need to be accessed from outside the organization."
