primary_id,sub_id,Name,Description
1,1.1,Cybersecurity Strategy - Documented,"A cybersecurity strategy must be defined, documented and approved. It must be supported by the head of the organization or his/her delegate (referred to in this document as Authorizing Official). The strategy goals must be in-line with related laws and regulations."
1,1.2,Cybersecurity Strategy - Roadmap,A roadmap must be executed to implement the cybersecurity strategy.
1,1.3,Cybersecurity Strategy - Review,The cybersecurity strategy must be reviewed periodically according to planned intervals or upon changes to related laws and regulations.
1,2.1,Cybersecurity Management - Organization,"A dedicated cybersecurity function (e.g., division, department) must be established within the organization. This function must be independent from the Information Technology/Information Communication and Technology (IT/ICT) functions (as per the Royal Decree number 37140 dated 14/8/1438H). It is highly recommended that this cybersecurity function reports directly to the head of the organization or his/her delegate while ensuring that this does not result in a conflict of interest."
1,2.2,Cybersecurity Management - Staffing,"The position of cybersecurity function head (e.g., CISO), and related supervisory and critical positions within the function, must be filled with full-time and experienced Saudi cybersecurity professionals."
1,2.3,Cybersecurity Management - Committee,"A cybersecurity steering committee must be established by the Authorizing Official to ensure the support and implementation of the cybersecurity programs and initiatives within the organization. Committee members, roles and responsibilities, and governance framework must be defined, documented and approved. The committee must include the head of the cybersecurity function as one of its members. It is highly recommended that the committee reports directly to the head of the organization or his/her delegate while ensuring that this does not result in a conflict of interest."
1,3.1,Cybersecurity Policies and Procedures - Documentation,"Cybersecurity policies and procedures must be defined and documented by the cybersecurity function, approved by the Authorizing Official, and disseminated to relevant parties inside and outside the organization. "
1,3.2,Cybersecurity Policies and Procedures - Implementation,The cybersecurity function must ensure that the cybersecurity policies and procedures are implemented. 
1,3.3,Cybersecurity Policies and Procedures - Technical standards,"The cybersecurity policies and procedures must be supported by technical security standards (e.g., operating systems, databases and firewall technical security standards)."
1,3.4,Cybersecurity Policies and Procedures - Review,The cybersecurity policies and procedures must be reviewed periodically according to planned intervals or upon changes to related laws and regulations. Changes and reviews must be approved and documented.
1,4.1,Cybersecurity Roles and Responsibilities - Defining roles,"Cybersecurity organizational structure and related roles and responsibilities must be defined, documented, approved, supported and assigned by the Authorizing Official while ensuring that this does not result in a conflict of interest. "
1,4.2,Cybersecurity Roles and Responsibilities - Review,The cybersecurity roles and responsibilities must be reviewed periodically according to planned intervals or upon changes to related laws and regulations.
1,5.1,Cybersecurity Risk Management - Methodology,"Cybersecurity risk management methodology and procedures must be defined, documented and approved as per confidentiality, integrity and availability considerations of information and technology assets. "
1,5.2,Cybersecurity Risk Management - Implementation,The cybersecurity risk management methodology and procedures must be implemented by the cybersecurity function. 
1,5.3,Cybersecurity Risk Management - Detailed Implementation,"The cybersecurity risk assessment procedures must be implemented at least in the following cases:

- 1-5-3-1 Early stages of technology projects.

- 1-5-3-2 Before making major changes to technology infrastructure.

- 1-5-3-3 During the planning phase of obtaining third party services.

- 1-5-3-4 During the planning phase and before going live for new technology services and products."
1,5.4,Cybersecurity Risk Management - Review,The cybersecurity risk management methodology and procedures must be reviewed periodically according to planned intervals or upon changes to related laws and regulations. Changes and reviews must be approved and documented.
1,6.1,Cybersecurity in Information and Technology Project Management - Project risks,Cybersecurity requirements must be included in project and asset (information/ technology) change management methodology and procedures to identify and manage cybersecurity risks as part of project management lifecycle. The cybersecurity requirements must be a key part of the overall requirements of technology projects.
1,6.2,Cybersecurity in Information and Technology Project Management - Project details,"The cybersecurity requirements in project and assets (information/technology) change management must include at least the following:

- 1-6-2-1 Vulnerability assessment and remediation.

- 1-6-2-2 Conducting a configurations review, secure configuration and hardening and patching before
changes or going live for technology projects."
1,6.3,Cybersecurity in Information and Technology Project Management - Development,"The cybersecurity requirements related to software and application development projects must include at least the following:

- 1-6-3-1 Using secure coding standards.

- 1-6-3-2 Using trusted and licensed sources for software development tools and libraries.

- 1-6-3-3 Conducting compliance test for software against the defined organizational cybersecurity requirements.

- 1-6-3-4 Secure integration between software components.

- 1-6-3-5 Conducting a configurations review, secure configuration and hardening and patching before going live for software products."
1,6.4,Cybersecurity in Information and Technology Project Management - Review,The cybersecurity requirements in project management must be reviewed periodically.
1,7.1,"Compliance with Cybersecurity Standards, Laws and Regulations - Laws",The organization must comply with related national cybersecurity laws and regulations.
1,7.2,"Compliance with Cybersecurity Standards, Laws and Regulations - Agreements",The organization must comply with any nationally-approved international agreements and commiments related to cybersecurity. 
1,8.1,Periodical Cybersecurity Review and Audit - Execution,Cybersecurity reviews must be conducted periodically by the cybersecurity function in the organization to assess the compliance with the cybersecurity controls in the organization.
1,8.2,Periodical Cybersecurity Review and Audit - Non-conflict,"Cybersecurity audits and reviews must be conducted by independent parties outside the cybersecurity function (e.g., Internal Audit function) to assess the compliance with the cybersecurity controls in the organization. Audits and reviews must be conducted independently, while ensuring that this does not result in a conflict of interest, as per the Generally Accepted Auditing Standards (GAAS), and related laws and regulations. "
1,8.3,Periodical Cybersecurity Review and Audit - Documented,"Results from the cybersecurity audits and reviews must be documented and presented to the cybersecurity steering committee and Authorizing Official. Results must include the audit/review scope, observations, recommendations and remediation plans."
1,9.1,Cybersecurity in Human Resources - Documented,"Personnel cybersecurity requirements (prior to employment, during employment and after termination/separation) must be defined, documented and approved. "
1,9.2,Cybersecurity in Human Resources - Implementation,"The personnel cybersecurity requirements  (prior to employment, during employment and after termination/separation) must be implemented."
1,9.3,Cybersecurity in Human Resources - Details,"The personnel cybersecurity requirements prior to employment must include at least the following:

- 1-9-3-1 Inclusion of personnel cybersecurity responsibilities and non-disclosure clauses (covering the cybersecurity requirements during employment and after termination/separation) in employment contracts.

- 1-9-3-2 Screening or vetting candidates of cybersecurity and critical/privileged positions."
1,9.4,Cybersecurity in Human Resources - Additional Details,"The personnel cybersecurity requirements during employment must include at least the following: 

- 1-9-4-1 Cybersecurity awareness (during on-boarding and during employment). 

- 1-9-4-2  Implementation of and compliance with the cybersecurity requirements as per the organizational cybersecurity policies and procedures."
1,9.5,Cybersecurity in Human Resources - Termination,Personnel access to information and technology assets must be reviewed and removed immediately upon termination/separation.
1,9.6,Cybersecurity in Human Resources - Review,"Personnel cybersecurity requirements (prior to employment, during employment and after termination/separation) must be reviewed periodically."
