primary_id,sub_id,Name,Description
3,1,Top Management Commitment,"Top management shall commit to the management system and ensure that management system processes integrate with other business processes. Commitment shall be demonstrated by top management through establishing an effective governance framework and ensuring the timely completion of the following:
- Identifying and addressing the context of the organization.
- Setting policy, scope and objectives for the management system.
- Providing the necessary management system support.
- Creating and maintaining documented information.
- Implementing business continuity management operations.
- Reviewing and evaluating the management system.
- Continual improvement of the management system."
3,1.a,Top Management - Compliance, Top management is responsible for setting the organization's policy for business continuity and accountable for ensuring that the management system complies to the requirements of this document and achieves the purpose of the Standard.
3,1.b,Top Management - Governance, Top management is responsible for setting the organization's policy for business continuity and accountable for ensuring that a governance framework and reporting structure for the management system is put in place.
3,1.c,Top Management - Responsibilities and Authorities, Top management is responsible for setting the organization's policy for business continuity and accountable for ensuring that responsibilities and authorities for roles are assigned and communicated appropriately.
3,2,Management System Roles and Responsibilities,"The organization shall ensure that responsibilities and authorities for relevant roles are assigned and communicated within the organization.
The organization shall assign roles and responsibilities for:
- Establishing the management system.
- Implementing business continuity management operations.
- Reporting on the performance of the management system.
- Reviewing and continual improvement."
3,3,Management System Planning,The organization shall implement and maintain a management system consisting of processes that integrate with other business processes to achieve business continuity objectives and meet the requirements of this document. All processes required by this document shall be documented.
3,3.a,Management System Planning - Work,The organization shall plan how to implement and maintain the management system by determining the work to be performed.
3,3.b,Management System Planning - Resources,The organization shall plan how to implement and maintain the management system by determining the people and other resources required to undertake the work.
3,3.c,Management System Planning - Target Dates,The organization shall plan how to implement and maintain the management system by determining target dates for work completion.
3,4,Approval,Top management shall determine the requirements for approving documented information.
4,1,Issues,"The organization shall identify issues relevant to its purpose and strategic direction, and business continuity objectives.
Organizations face challenges, both positive and negative, every day. Understanding the issues and knowing how best to address them is key to an organization's success. External economic and political pressures can influence how the organization sets up the management system and internally, the style of management can have a major bearing. For example, if strong management dictates that certain activities carried out by the organization are essential, then this must be accommodated alongside the requirements of this document."
4,2,Interested Parties,"The organization shall identify interested parties and determine their needs and expectations, including legal and regulatory requirements relevant to the organization's business operations.
Interested parties, commonly referred to as stakeholders, are people or organizations who may be significantly affected by your organization's situation. Understanding what they need and expect from your organization is an important first step in making sure that the management system achieves its purpose. Organizations that manage their relationships with interested parties to minimize the impact of disruptions are undoubtedly more successful than those who do not."
4,3,Attitude to Risk,Top management shall determine the level and type of risk that the organization will take and ensure that risk criteria is developed and communicated to the organization and its interested parties.
5,1,Business Continuity Policy,"The organization shall create and maintain as documented information, a statement that sets out the organization's business continuity policy, scope of the management system and business continuity objectives. The statement shall be communicated to all people under the organization's control and made available to other interested parties, as approved by top management."
5,"1.a, 1.b, 1.c",Business Continuity Policy,"The organization shall establish a business continuity policy that is appropriate to the context of the organization and includes commitment to: a. Achieving the purpose of the Standard.
b. Satisfying the needs and expectations of interested parties.
c. Meeting in full, the requirements of this document.
"
5,2.a,Scope of the Management System - Scope Identification,The organization shall have a process for defining the scope of the management system in-terms of the products and services to be included.
5,2.b,Scope of the Management System - Boundaries ,The scope shall be appropriate to the context of the organization and identify the boundaries and applicability of the management system.
5,2.c,Scope of the Management System - Exclusions ,"If there are exclusions from scope, these shall be identified, explained and justified. Such exclusions shall not adversely affect the organization's ability to meet the business continuity requirements of its in-scope products and services."
5,3.a,Business Continuity Objectives - Identification,The organization shall have a process for setting business continuity objectives that explain to interested parties the purpose of the management system.
5,3.b,Business Continuity Objectives - Measurable,"The process shall ensure that these objectives align with business continuity policy, are measurable and are communicated throughout the organization."
6,1,People ,The organization shall determine and provide people with the necessary competence.
6,1.1,Competence,The organization shall have a process for managing the competence of people working under its control.
6,1.1.a,Competence - Requirements,The competency process shall include determining the competences required for each role.
6,1.1.b,Competence - Demonstration,The competency process shall include identifying how competence will be demonstrated.
6,1.1.c,Competence - Actions,The competency process shall include determining actions required to acquire the necessary competence.
6,1.1.d,Competence - Evaluate Effectiveness,The competency process shall include evaluating the effectiveness of actions taken.
6,1.2,Awareness,"The organization shall have a process for ensuring that all people under its control have sufficient business continuity awareness to understand:
a. The business continuity policy and objectives.
b. The meaning of business continuity and its value to the organization.
c. The organization's expectations of them regarding business continuity.
d. Their management system responsibilities, including those for BCMS operations.
e. Threats and risks of disruptions of relevance to them.
f. What to do in the event of a major disruption."
6,2,Other Resources,"The organization shall provide other resources needed to operate the management system effectively, including and not limited to adequate provision of:
- Budget allocation.
- Information and data.
- Buildings, facilities and associated utilities.
- Technology equipment and systems.
- Supplies and consumables.
- Logistics, including transportation.
- Other specific requirements."
6,3,External Providers ,"The organizations shall consider the capabilities and constraints of its internal resources and determine its requirements, if any, for assistance from external providers."
6,3.1,Control of External Providers,"The organization shall control the work of external providers and ensure that externally provided processes, products and services comply to its requirements."
6,3.1.a,Control of External Providers - Selection Criteria,The control of the work of external providers shall include determining and applying criteria for selecting external providers.
6,3.1.b,Control of External Providers - Controls ,"The control of the work of external providers shall include treating externally provided processes as being within the management system, including defining the controls to be applied to providers and their output."
6,4,Communication Relating to the Management System,The organization shall have a process for communicating with interested parties on matters relating to the management system.
6,4.a,Communication Relating to the Management System - Internal,The communication process shall include identifying the internal parties with whom to communicate.
6,4.b,Communication Relating to the Management System - External,The communication process shall include identifying the external parties with whom to communicate.
6,4.c,Communication Relating to the Management System - How,"The communication process shall include determining for each party the information, timing, methods and person to be responsible for communication."
6,5,Control Over Management System Changes,The organization shall have a process for ensuring that changes affecting the performance of the management system are identified and result in appropriate action being taken.
6,5.a,Control Over Management System Changes - Identification,The change process shall include identifying changes.
6,5.b,Control Over Management System Changes - Evaluation,The change process shall include evaluating the effect of the changes on the overall performance of the management system.
6,5.c,Control Over Management System Changes - Actions,The change process shall include determining the actions to be taken.
7,1,Creation of Documented Information,"The organization shall have a process for creating documented information that provides evidence of processes and compliance of the management system to the requirements of this document, including identification of inputs and intended results."
7,1.a,Creation of Documented Information - Identification,The documentation process shall include forms of document identification and a description of its purpose.
7,1.b,Creation of Documented Information - Format,"The documentation process shall include documentation formats (e.g. language, software version, graphics)."
7,1.c,Creation of Documented Information - Media,"The documentation process shall include appropriate media (e.g. paper, electronic)."
7,1.d,Creation of Documented Information - Review & Approval,The documentation process shall include requirements for review and approval of suitability.
7,2,Control of Documented Information,The organization shall have a process for controlling and updating documented information to preserve its integrity and ensure that it is identifiable and available at the point of use.
7,2.a,Control of Documented Information - Distribution,"The document control process shall include controls over distribution, access, retrieval and use."
7,2.b,Control of Documented Information - Access,The document control process shall include controls over access rights and permissions.
7,2.c,Control of Documented Information - Storage ,The document control process shall include controls over Storage and preservation to ensure readability.
7,2.d,Control of Documented Information - Revision,The document control process shall include controls over updates and versions.
7,2.e,Control of Documented Information - Retention & Disposal,The document control process shall include controls over retention and disposal.
7,2.f,Control of Documented Information - Labeling,The document control process shall include controls over determination and labelling of origin.
7,3,Required Documented Information,The organization shall create and maintain additional documented information that the organization deems necessary for the management system to be effective.
8,1,Planning and Control,"The organization shall plan and implement in a controlled manner, the processes needed for BCMS operations and the resources to support them."
8,2,Business Impact Analysis (BIA),"The organization shall have a process for analyzing the business impact of disrupting activities that support delivery of products and services. Where resumption of a prioritized activity depends on a single external provider, the organization shall evaluate the provider's business continuity arrangements in relation to the dependency and determine the action needed to address any vulnerability. The output from the BIA shall be in a form suitable for decision-making by top management."
8,2.a,Business Impact Analysis (BIA) - Impact Categories,The business impact analysis process shall include using impact categories and timeframes relevant to the organization's context to analyze impacts resulting from disruption of activities.
8,2.b,Business Impact Analysis (BIA) - RTO,The business impact analysis process shall include determining the time within which the impacts of not resuming activities would become unacceptable and setting Recovery Time Objectives (RTOs) within that time for their resumption.
8,2.c,Business Impact Analysis (BIA) - Resumption,The business impact analysis process shall include determining the capacity at which activities may need to be resumed.
8,2.d,Business Impact Analysis (BIA) - Prioritized Activities,"The business impact analysis process shall include using this analysis results in identifying the organization's 'prioritized activities', which will require business continuity strategies to be in place to ensure their resumption within the predefined RTO."
8,2.e,Business Impact Analysis (BIA) - Dependencies,"The business impact analysis process shall include identifying dependencies of prioritized activities, including people, other resources, external providers and other activities relied on for delivery of products and services."
8,3,Risk Assessment (RA),"The organization shall have a risk assessment process that identifies, analyses and evaluates the risk of the organization's prioritized activities being disrupted."
8,3.a,Risk Assessment (RA) - Risk Identification,The risk assessment process shall include identification of risks from threats and vulnerabilities that are relevant to the organization's context.
8,3.b,Risk Assessment (RA) - Risk Analysis ,The risk assessment process shall include analysis of risks based on consideration of potential causes and sources of risk and their likelihood and anticipated consequences.
8,3.c,Risk Assessment (RA) - Risk Evaluation,The risk assessment process shall include evaluation of risks to determine their significance to the organization.
8,4,Business Continuity Strategies,"The organization shall have a process for identifying, evaluating, selecting and implementing business continuity strategies. Strategies shall be approved by top management in accordance with requirements applicable (by regulatory or other obligations) and resources needed."
8,4.1,Strategies Identification,"The organization shall use the outcomes of business impact analysis and risk assessment to identify strategies to achieve:
a. Protecting prioritized activities and reducing the likelihood of disruption.
b. Responding to and shortening the period of disruption.
c. Stabilizing, resuming and recovering prioritized activities.
d. Limiting the impacts of disruption."
8,4.2,Evaluation and Selection of Strategies and Resource Requirements ,"The organization shall evaluate and select strategies based on the extent to which they:
a. Enable prioritized activities to resume at agreed capacity within RTO.
b. Align with the amount and type of risk that the organization may or may not take.
c. Deliver benefits at manageable and reasonable cost."
8,4.2.a,Evaluation and Selection of Strategies and Resource Requirements - Selection of Evaluators,"The organization shall determine competent people to evaluate and select strategies, people ,other resources and external providers needed to implement selected strategies"
8,4.2.b,Evaluation and Selection of Strategies and Resource Requirements - Resources,"The organization shall specify the resources required to implement the selected strategy, and specify the timing and capacity at which they need to be made available."
