primary_id,sub_id,Name,Description
AA,3.3.1,Audit and Accountability: Audit,"Create and retain system audit logs and records to the extent needed to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity."
AA,3.3.1 (a),Audit and Accountability: Audit Logs,"Audit logs needed (i.e., event types to be logged) to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity shall be specified."
AA,3.3.1 (b),Audit and Accountability: Define Content,"The content of audit records needed to support monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity shall be defined."
AA,3.3.1 (c),Audit and Accountability: Generate Records,Audit records shall be created (generated).
AA,3.3.1 (d),Audit and Accountability: Determine Content Inclusion,"Audit records, once created, shall contain the defined content."
AA,3.3.1 (e),Audit and Accountability: Define Retention,Retention requirements for audit records shall be defined.
AA,3.3.1 (f),Audit and Accountability: Determine Retention,Audit records shall be retained as defined.
AA,3.3.2,Audit and Accountability: Accountability,Ensure that the actions of individual information system users can be uniquely traced to those users so they can be held accountable for their actions.
AA,3.3.2 (a),Audit and Accountability: Define Accountability Content,The content of the audit records needed to support the ability to uniquely trace users to their actions shall be defined.
AA,3.3.2 (b),Audit and Accountability: Determine Content Inclusion,"Audit records, once created, shall contain the defined content."
AA,3.3.3,Audit and Accountability: Logged Events,Review and update logged events.
AA,3.3.3 (a),Audit and Accountability: Review Process,A process for determining when to review logged events shall be defined.
AA,3.3.3 (b),Audit and Accountability: Determine Accordance,Event types being logged shall be reviewed in accordance with the defined review process.
AA,3.3.3 (c),Audit and Accountability: Update Event Types,Event types being logged shall be updated based on the review.
AA,3.3.4,Audit and Accountability: Alert,Alert in the event of an audit logging process failure.
AA,3.3.4 (a),Audit and Accountability: Identify Personnel,Personnel or roles to be alerted in the event of an audit logging process failure shall be identified.
AA,3.3.4 (b),Audit and Accountability: Define Process Failures,Types of audit logging process failures for which alert will be generated shall be defined.
AA,3.3.4 (c),Audit and Accountability: Identify Roles Alerted,Identified personnel or roles shall be alerted in the event of an audit logging process failure.
AA,3.3.5,Audit and Accountability: Audit Record Correlation,"Correlate audit record review, analysis, and reporting processes for investigation and response to indications of unlawful, unauthorized, suspicious, or unusual activity."
AA,3.3.5 (a),Audit and Accountability: Define Audit Record Process,"Audit record review, analysis, and reporting processes for investigation and response to indications of unlawful, unauthorized, suspicious, or unusual activity shall be defined."
AA,3.3.5 (b),Audit and Accountability: Determine Correlation,"Defined audit record review, analysis, and reporting processes shall be correlated."
AA,3.3.6,Audit and Accountability: Reporting,Ensure to provide audit record reduction and report generation to support on-demand analysis and reporting.
AA,3.3.6 (a),Audit and Accountability: Record Reduction,An audit record reduction capability that supports on-demand analysis shall be provided.
AA,3.3.6 (b),Audit and Accountability: Report Generation,A report generation capability that supports on-demand reporting shall be provided.
AA,3.3.7,Audit and Accountability: Timestamps,Ensure to provide an information system capability that compares and synchronizes internal system clocks with an authoritative source to generate time stamps for audit records.
AA,3.3.7 (a),Audit and Accountability: System Clocks,Internal system clocks shall be used to generate time stamps for audit records.
AA,3.3.7 (b),Audit and Accountability: Authoritative Source,An authoritative source with which to compare and synchronize internal system clocks shall be specified.
AA,3.3.7 (c),Audit and Accountability: Synchronized Time Stamps,Internal system clocks used to generate timestamps for audit records shall be compared to and synchronized with the specified authoritative time source.
AA,3.3.8,Audit and Accountability: Protect Information and Logging Tools,"Protect audit information and audit logging tools from unauthorized access, modification, and deletion."
AA,3.3.8 (a),Audit and Accountability: Unauthorized Access,Audit information shall be protected from unauthorized access.
AA,3.3.8 (b),Audit and Accountability: Unauthorized Modification,Audit information shall be protected from unauthorized modification.
AA,3.3.8 (c),Audit and Accountability: Unauthorized Deletion,Audit information shall be protected from unauthorized deletion.
AA,3.3.8 (d),Audit and Accountability: Unauthorized Access (Logging Tools),Audit logging tools shall be protected from unauthorized access.
AA,3.3.8 (e),Audit and Accountability: Unauthorized Modification (Logging Tools),Audit logging tools shall be protected from unauthorized modification.
AA,3.3.8 (f),Audit and Accountability: Unauthorized Deletion (Logging Tools),Audit logging tools shall be protected from unauthorized deletion.
AA,3.3.9,Audit and Accountability: Management,Limit management of audit logging functionality to a subset of privileged users.
AA,3.3.9 (a),Audit and Accountability: Privileged Users,A subset of privileged users granted access to manage audit logging functionality shall be defined.
AA,3.3.9 (b),Audit and Accountability: Privileged Users Limitation,Management of audit logging functionality shall be limited to the defined subset of privileged users.
AC,3.1.1,Access Control: Authorized Users,"Limit system access to authorized users, processes acting on behalf of authorized users, and devices (including other systems)."
AC,3.1.1 (a),Access Control: Identify Authorized Users,Authorized users shall be identified.
AC,3.1.1 (b),Access Control: Identify Processes,Processes acting on behalf of authorized users shall be identified.
AC,3.1.1 (c),Access Control: Identify Devices,Devices (and other systems) authorized to connect to the system shall be identified.
AC,3.1.1 (d),Access Control: User Access,System access shall be limited to authorized users.
AC,3.1.1 (e),Access Control: Process Access,System access shall be limited to processes acting on behalf of authorized users.
AC,3.1.1 (f),Access Control: Device Access,System access shall be limited to authorized devices (including other systems).
AC,3.1.2,Access Control: User Transactions,Limit information system access to the types of transactions and functions that authorized users are permitted to execute.
AC,3.1.2 (a),Access Control: Define Transactions and Functions,The types of transactions and functions that authorized users are permitted to execute shall be defined.
AC,3.1.2 (b),Access Control: Transaction and Function Access,System access shall be limited to the defined types of transactions and functions for authorized users.
AC,3.1.3,Access Control: CUI Flow,Control the flow of CUI in accordance with approved authorizations.
AC,3.1.3 (a),Access Control: CUI Flow Policies,Information flow control policies shall be defined.
AC,3.1.3 (b),Access Control: CUI Flow Enforcement,Methods and enforcement mechanisms for controlling the flow of CUI shall be defined.
AC,3.1.3 (c),Access Control: CUI Sources and Destinations,"Designated sources and destinations (e.g., networks, individuals, and devices) for CUI within the system and between interconnected systems shall be identified."
AC,3.1.3 (d),Access Control: CUI Defined Authorizations,Authorizations for controlling the flow of CUI shall be defined.
AC,3.1.3 (e),Access Control: CUI Enforced Authorizations,Approved authorizations for controlling the flow of CUI shall be enforced.
AC,3.1.4,Access Control: Duty Separation,Separate the duties of individuals to reduce the risk of malevolent activity without collusion.
AC,3.1.4 (a),Access Control: Define Separation of Duties,The duties of individuals requiring separation shall be defined.
AC,3.1.4 (b),Access Control: Separation of Duties Responsibility,Responsibilities for duties that require separation shall be assigned to separate individuals.
AC,3.1.4 (c),Access Control: Access Privileges Separation,Access privileges that enable individuals to exercise the duties that require separation shall be granted to separate individuals.
AC,3.1.5,Access Control: Least Privilege,"Employ the principle of least privilege, including for specific security functions and privileged accounts."
AC,3.1.5 (a),Access Control: Privileged Accounts,Privileged accounts shall be identified.
AC,3.1.5 (b),Access Control: Least Privilege Access,Access to privileged accounts shall be authorized in accordance with the principle of least privilege.
AC,3.1.5 (c),Access Control: Security Functions,Security functions shall be identified.
AC,3.1.5 (d),Access Control: Security Function Access,Access to security functions shall be authorized in accordance with the principle of least privilege.
AC,3.1.6,Access Control: Non-Privileged Accounts,Use non-privileged accounts or roles when accessing nonsecurity functions.
AC,3.1.6 (a),Access Control: Nonsecurity Functions,Nonsecurity functions shall be identified.
AC,3.1.6 (b),Access Control: Nonsecurity Function Accounts,Users shall use non-privileged accounts or roles when accessing nonsecurity functions.
AC,3.1.7,Access Control: Non-Privileged Execution,Prevent non-privileged users from executing privileged functions and capture the execution of such functions in audit logs.
AC,3.1.7 (a),Access Control: Privileged Functions,Privileged functions shall be defined.
AC,3.1.7 (b),Access Control: Non-Privileged Users,Non-privileged users shall be defined.
AC,3.1.7 (c),Access Control: Non-Privileged Execution Prevention,Non-privileged users shall be prevented from executing privileged functions.
AC,3.1.7 (d),Access Control: Non-Privileged Execution Logs,The execution of privileged functions shall be captured in audit logs.
AC,3.1.8,Access Control: Logon Attempts,Limit unsuccessful logon attempts.
AC,3.1.8 (a),Access Control: Unsuccessful Logon Attempts Limited,The means of limiting unsuccessful logon attempts shall be defined.
AC,3.1.8 (b),Access Control: Unsuccesful Logon Attempts Defined,The defined means of limiting unsuccessful logon attempts shall be implemented.
