primary_id,sub_id,Name,Description
AC,1.a.1,Access Control Policy and Procedures - Policy,"The organization shall develop, document, and disseminate access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance. 
 
 Tailoring Action: 
 NFO - Expected to be routinely satisfied by nonfederal organizations without specification."
AC,1.a.2,Access Control Policy and Procedures - Procedure,"The organization shall develop, document, and disseminate procedures to facilitate the implementation of the access control policy and associated access controls. 
 
 Tailoring Action: 
 NFO - Expected to be routinely satisfied by nonfederal organizations without specification."
AC,1.b.1,Access Control Policy and Procedures - Update Policy,"The organization shall review and update the current access control policy. 
 
 Tailoring Action: 
 NFO - Expected to be routinely satisfied by nonfederal organizations without specification."
AC,1.b.2,Access Control Policy and Procedures - Update Procedure,"The organization shall review and update the current access control procedures. 
 
 Tailoring Action: 
 NFO - Expected to be routinely satisfied by nonfederal organizations without specification."
AC,2.a,Account Management - Account Types,"The organization shall identify and select information system account types to support organizational missions/business functions. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,2.b,Account Management - Account Managers,"The organization shall assign account managers for information system accounts 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,2.c,Account Management - Group and Role Membership,"The organization shall establish conditions for group and role membership 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,2.d,Account Management - Authorized Users,"The organization shall specify authorized users of the information system, group, and role membership, and access authorizations (i.e. privileges) and other attributes (as required) for each account. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,2.e,Account Management - Approval for Requests,"The organization shall require approvals by assigned personnel for requests to create information system accounts. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,2.f,Account Management - Account Procedures,"The organization shall create, enable, modify, disable, and remove information system accounts in accordance with organization defined procedures. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,2.g,Account Management - Monitor,"The organization shall monitor the use of information system accounts. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,2.h.1,Account Management - Disable When No Longer Needed,"The organization shall notify account managers when accounts are no longer required. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,2.h.2,Account Management - Terminated Accounts,"The organization shall notify account managers when users are terminated or transferred. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,2.h.3,Account Management - Permission Changes,"The organization shall notify account managers when individual information system usage or need-to-know changes. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,2.i.1,Account Management - Valid Access,"The organization shall authorize access to the information system based on a valid access authorization. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,2.i.2,Account Management - System Usage,"The organization shall authorize access to the information system based on intended system usage. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,2.i.3,Account Management - Attributes,"The organization shall authorize access to the information system based on other attributes as required by the organization or associated missions/business functions. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,2.j,Account Management - Compliance,"The organization shall review accounts for compliance with account management requirements. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,2.k,Account Management - Shared/Group Account Credentials,"The organization shall establish a process for reissuing shared/group account credentials (if deployed) when individuals are removed from the group. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,2.x(1),Account Management  Automated System Account Management,"The organization shall employ automated mechanisms to support the management of information system accounts. 
 
 Tailoring Action: 
 NCO - Not directly related to protecting the confidentiality of CUI."
AC,2.x(2),Account Management  Removal of Temporary / Emergency Accounts,"The information system shall automatically remove/disable temporary and emergency accounts after a set period of time. 
 
 Tailoring Action: 
 NCO - Not directly related to protecting the confidentiality of CUI."
AC,2.x(3),Account Management  Disable Inactive Accounts,"The information system shall be automatically disabled inactive accounts after a set period of time. 
 
 Tailoring Action: 
 NCO - Not directly related to protecting the confidentiality of CUI."
AC,2.x(4),Account Management  Automated Audit Actions,"The information system shall automatically audit account creation, modification, enabling, disabling, and removal actions, and notify the proper personnel. 
 
 Tailoring Action: 
 NCO - Not directly related to protecting the confidentiality of CUI."
AC,3.1,Access Enforcement,"The information system shall enforce approved authorizations for logical access to information and system resources in accordance with access control policies. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,4.1,Information Flow Enforcement,"The information system shall enforce approved authorizations for controlling the flow of information within the system and between interconnected systems based on defined information flow control policies. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,5.a,Separation of Duties - Duties,"The organization shall separate organization-defined duties of individuals.
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,5.b,Separation of Duties - Document Duties,"The organization shall document separation of duties of individuals.
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,5.c,Separation of Duties - Define Access Authorization,"The organization shall define information system access authorizations to support separation of duties. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,6.1,Least Privilege,"The organization shall employ the principle of least privilege, allowing only authorized access for users (or processes acting on behalf of users) which are necessary to accomplish assigned tasks in accordance with the organizational missions and business functions. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,6.x(1),Least Privilege  Authorize Access To Security Functions,"The organization shall explicitly authorize access to organization-defined security functions (deployed in hardware, software, and firmware) and security-relevant information. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,6.x(2),Least Privilege  Non-Privileged Access for Non-Security Functions,"The organization shall require that users of information system accounts, or roles, with access to organization-defined security functions or security-relevant information, use non-privileged accounts, or roles, when accessing non-security functions. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,6.x(5),Least Privilege  Privileged Accounts,"The organization shall restrict privileged accounts on the information system to organization-defined personnel or roles. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,6.x(9),Least Privilege  Auditing Use of Privileged Functions,"The information system shall audit the execution of privileged functions. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,6.x(10),Least Privilege  Prohibit Non-Privileged Users From Executing Privileged Functions,"The information system shall prevent non-privileged users from executing privileged functions to include disabling, circumventing, or altering implemented security safeguards/countermeasures. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,7.a,Unsuccessful Logon Attempts - Limit of Consecutive Attempts,"The information system shall enforce an organization-defined limit of consecutive invalid logon attempts by a user during an organization-defined time period. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,7.b,Unsuccessful Logon Attempts - Locks Account,"The information system shall automatically lock the account/node for an organizational-defined time period; lock the account/node until released by an administrator; delay next logon prompt according to an organization-defined delay period, when the maximum number of unsuccessful logon attempts is exceeded. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,8.a.1,System Use Notification - US Government,"The information system shall display to users an organization-defined system use notification message or banner before granting access to the system that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance and states that: Users are accessing a U.S. Government information system. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,8.a.2,System Use Notification - Subject to Audit,"The information system shall display to users an organization-defined system use notification message or banner before granting access to the system that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance and states that: Information system usage may be monitored, recorded, and subject to audit. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,8.a.3,System Use Notification - Subject to Criminal Penalty,"The information system shall display to users an organization-defined system use notification message or banner before granting access to the system that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance and states that: Unauthorized use of the information system is prohibited and subject to criminal and civil penalties. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,8.a.4,System Use Notification - Monitoring and Recording,"The information system shall display to users an organization-defined system use notification message or banner before granting access to the system that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance and states that: Use of the information system indicates consent to monitoring and recording. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,8.b,System Use Notification - Acknowledgement,"The information system shall retain the notification message or banner on the screen until users acknowledge the usage conditions and take explicit actions to log on to or further access the information system. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,8.c.1,System Use Notification - System Use Notification,"The information system (with regards to publicly accessible systems), shall display system use information and organization-defined conditions, before granting further access. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,8.c.2,System Use Notification - References,"The information system (with regards to publicly accessible systems), shall display references, if any, to monitoring, recording, or auditing that are consistent with privacy accommodations for such systems that generally prohibit those activities. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,8.c.3,System Use Notification - Authorized Users,"The information system (with regards to publicly accessible systems), shall include a description of the authorized users of the system. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,11.a,Session Lock - Inactivity,"The information system shall prevent further access to the system by initiating a session lock after an organization-defined time period of inactivity or upon receiving a request from a user. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,11.b,Session Lock - Reestablish Access,"The information system shall retain the session lock until the user reestablishes access using established identification and authentication procedures. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,11.x(1),Session Lock  Pattern-Hiding Displays,"The information system shall conceal, via the session lock, information previously visible on the display with a publicly viewable image. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,12.1,Session Termination,"The information system shall automatically terminate a user session after organization-defined conditions or trigger events requiring session disconnect. 
 
 Tailoring Action: 
 CUI - The CUI basic or derived security requirement is reflected in and is traceable to the security control, control enhancement, or specific elements of the control/enhancement."
AC,14.a,Permitted Actions Without Identification or Authentication - User Actions,"The organization shall identify user actions that can be performed on the information system without identification or authentication consistent with organizational missions/business functions 
 
 Tailoring Action: 
 FED - Uniquely federal, primarily the responsibility of the Federal government."
