primary_id,sub_id,Name,Description
AC,1.a.1,Access Control Policy and Procedures,"The organization shall develop, document, and disseminate access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance."
AC,1.a.2,Access Control Policy and Procedures,"The organization shall develop, document, and disseminate procedures to facilitate the implementation of the access control policy and associated access controls."
AC,1.b.1,Access Control Policy and Procedures,The organization shall review and update the current access control policy.
AC,1.b.2,Access Control Policy and Procedures,The organization shall review and update the current access control procedures.
AC,2.a,Account Management,The organization shall identify and select information system account types to support organizational missions/business functions.
AC,2.b,Account Management,The organization shall assign account managers for information system accounts.
AC,2.c,Account Management,The organization shall establish conditions for group and role membership.
AC,2.d,Account Management,"The organization shall specify authorized users of the information system, group, and role membership, and access authorizations (i.e. privileges) and other attributes (as required) for each account."
AC,2.e,Account Management,The organization shall require approvals by assigned personnel for requests to create information system accounts.
AC,2.f,Account Management,"The organization shall create, enable, modify, disable, and remove information system accounts in accordance with organization defined procedures."
AC,2.g,Account Management,The organization shall monitor the use of information system accounts
AC,2.h.1,Account Management,The organization shall notify account managers when accounts are no longer required.
AC,2.h.2,Account Management,The organization shall notify account managers when users are terminated or transferred.
AC,2.h.3,Account Management,The organization shall notify account managers when individual information system usage or need-to-know changes.
AC,2.i.1,Account Management,The organization shall authorize access to the information system based on a valid access authorization.
AC,2.i.2,Account Management,The organization shall authorize access to the information system based on intended system usage.
AC,2.i.3,Account Management,The organization shall authorize access to the information system based on other attributes as required by the organization or associated missions/business functions.
AC,2.j,Account Management,The organization shall review accounts for compliance with account management requirements.
AC,2.k,Account Management,The organization shall establish a process for reissuing shared/group account credentials (if deployed) when individuals are removed from the group.
AC,3.1,Access Enforcement,The information system shall enforce approved authorizations for logical access to information and system resources in accordance with access control policies.
AC,7.a,Unsuccessful Logon Attempts,The information system shall enforce an organization-defined limit of consecutive invalid logon attempts by a user during an organization-defined time period.
AC,7.b,Unsuccessful Logon Attempts,"The information system shall automatically lock the account/node for an organizational-defined time period; lock the account/node until released by an administrator; delay next logon prompt according to an organization-defined delay period, when the maximum number of unsuccessful logon attempts is exceeded."
AC,8.a.1,System Use Notification,"The information system shall display to users an organization-defined system use notification message or banner before granting access to the system that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance and states that: Users are accessing a U.S. Government information system."
AC,8.a.2,System Use Notification,"The information system shall display to users an organization-defined system use notification message or banner before granting access to the system that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance and states that: Information system usage may be monitored, recorded, and subject to audit."
AC,8.a.3,System Use Notification,"The information system shall display to users an organization-defined system use notification message or banner before granting access to the system that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance and states that: Unauthorized use of the information system is prohibited and subject to criminal and civil penalties."
AC,8.a.4,System Use Notification,"The information system shall display to users an organization-defined system use notification message or banner before granting access to the system that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance and states that: Use of the information system indicates consent to monitoring and recording."
AC,8.b,System Use Notification,The information system shall retain the notification message or banner on the screen until users acknowledge the usage conditions and take explicit actions to log on to or further access the information system.
