primary_id,sub_id,Name,Description
AC,1.a.1,Access Control Policy and Procedures,"The organization shall develop, document, and disseminate access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance."
AC,1.a.2,Access Control Policy and Procedures,"The organization shall develop, document, and disseminate procedures to facilitate the implementation of the access control policy and associated access controls."
AC,1.b.1,Access Control Policy and Procedures,The organization shall review and update the current access control policy.
AC,1.b.2,Access Control Policy and Procedures,The organization shall review and update the current access control procedures.
AC,2.a,Account Management,The organization shall identify and select information system account types to support organizational missions/business functions.
AC,2.b,Account Management,The organization shall assign account managers for information system accounts.
AC,2.c,Account Management,The organization shall establish conditions for group and role membership.
AC,2.CE1,Account Management - Automated System Account Management,The organization shall employ automated mechanisms to support the management of information system accounts.
AC,2.CE2,Account Management - Removal of Temporary / Emergency Accounts,The information system shall automatically remove/disable temporary and emergency accounts after a set period of time.
AC,2.CE3,Account Management - Disable Inactive Accounts,The information system shall automatically disable inactive accounts after a set period of time.
AC,2.CE4,Account Management - Automated Audit Actions,"The information system shall automatically audit account creation, modification, enabling, disabling, and removal actions, and notifies the proper personnel."
AC,2.d,Account Management,"The organization shall specify authorized users of the information system, group, and role membership, and access authorizations (i.e. privileges) and other attributes (as required) for each account."
AC,2.e,Account Management,The organization shall require approvals by assigned personnel for requests to create information system accounts.
AC,2.f,Account Management,"The organization shall create, enable, modify, disable, and remove information system accounts in accordance with organization defined procedures."
AC,2.g,Account Management,The organization shall monitor the use of information system accounts.
AC,2.h.1,Account Management,The organization shall notify account managers when accounts are no longer required.
AC,2.h.2,Account Management,The organization shall notify account managers when users are terminated or transferred.
AC,2.h.3,Account Management,The organization shall notify account managers when individual information system usage or need-to-know changes.
AC,2.i.1,Account Management,The organization shall authorize access to the information system based on a valid access authorization.
AC,2.i.2,Account Management,The organization shall authorize access to the information system based on intended system usage.
AC,2.i.3,Account Management,The organization shall authorize access to the information system based on other attributes as required by the organization or associated missions/business functions.
AC,2.j,Account Management,The organization shall review accounts for compliance with account management requirements.
AC,2.k,Account Management,The organization shall establish a process for reissuing shared/group account credentials (if deployed) when individuals are removed from the group.
AC,3.1,Access Enforcement,The information system shall enforce approved authorizations for logical access to information and system resources in accordance with access control policies.
AC,4.1,Information Flow Enforcement,The information system shall enforce approved authorizations for controlling the flow of information within the system and between interconnected systems based on defined information flow control policies.
AC,5.a,Separation of Duties,The organization shall separate organization-defined duties of individuals.
AC,5.b,Separation of Duties,The organization shall document separation of duties of individuals.
AC,5.c,Separation of Duties,The organization shall define information system access authorizations to support separation of duties.
AC,6.1,Least Privilege,"The organization shall employ the principle of least privilege, allowing only authorized access for users (or processes acting on behalf of users) which are necessary to accomplish assigned tasks in accordance with the organizational missions and business functions"
AC,6.CE1,Least Privilege - Authorize Access To Security Functions,"The organization shall explicitly authorize access to organization-defined security functions (deployed in hardware, software, and firmware) and security-relevant information."
AC,6.CE2,Least Privilege - Non-Privileged Access for Non-Security Functions,"The organization shall require that users of information system accounts, or roles, with access to organization-defined security functions or security-relevant information, use non-privileged accounts, or roles, when accessing non-security functions."
AC,6.CE5,Least Privilege - Privileged Accounts,The organization shall restrict privileged accounts on the information system to organization-defined personnel or roles.
