primary_id,sub_id,Name,Description
2,1.1,Minimum Password Length,Ensure that user set passwords are at least 12 characters in length.
2,1.2,Password Length,Ensure that passwords 64 characters or longer are permitted.
2,1.3,Passwords can Contain Spaces,Ensure that passwords can contain spaces and truncation is not performed. Consecutive multiple spaces MAY optionally be coalesced.
2,1.4,Unicode Characters are Permitted,"Ensure that Unicode characters are permitted in passwords. A single Unicode code point is considered a character, so 12 emoji or 64 kanji characters should be valid and permitted."
2,1.5,Users can Change Their Password,Ensure users can change their password.
2,1.6,Password Change Functionality,Ensure that password change functionality requires the user's current and new password.
2,1.7,Passwords Checked Against Breach Password List,"Ensure that passwords submitted during account registration, login, and password change are checked against a set of breached passwords either locally (such as the top 1,000 or 10,000 most common passwords which match the system's password policy) or using an external API. If using an API a zero knowledge proof or other mechanism should be used to ensure that the plain text password is not sent or used in verifying the breach status of the password. If the password is breached, the application must require the user to set a new nonbreached password."
2,1.8,Password Strength Meter,Ensure that a password strength meter is provided to help users set a stronger password.
2,1.9,No Password Composition Rules,Ensure that there are no password composition rules limiting the type of characters permitted. There should be no requirement for upper or lower case or numbers or special characters.
2,1.1,No Credential Rotation or History Requirements,Ensure that there are no periodic credential rotation or password history requirements.
2,1.11,Paste Functionality,"Ensure that ""paste"" functionality, browser password helpers, and external password managers are permitted."
2,1.12,Temporarily View Masked Password or Last Character Typed,"Ensure that the user can choose to either temporarily view the entire masked password, or temporarily view the last typed character of the password on platforms that do not have this as native functionality."
2,2.1,Anti-Automation Controls,"Ensure that anti-automation controls are effective at mitigating breached credential testing, brute force, and account lockout attacks. Such controls include blocking the most common breached passwords, soft lockouts, rate limiting, CAPTCHA, ever increasing delays between attempts, IP address restrictions, or risk-based restrictions such as location, first login on a device, recent attempts to unlock the account, or similar. Verify that no more than 100 failed attempts per hour is possible on a single account."
2,2.2,Weak Authenticators is Limited to Secondary Verification,"Ensure that the use of weak authenticators (such as SMS and email) is limited to secondary verification and transaction approval and not as a replacement for more secure authentication methods. Ensure that stronger methods are offered before weak methods, users are aware of the risks, or that proper measures are in place to limit the risks of account compromise."
2,2.3,Secure Notifications,"Ensure that secure notifications are sent to users after updates to authentication details, such as credential resets, email or address changes, logging in from unknown or risky locations. The use of push notifications - rather than SMS or email - is preferred, but in the absence of push notifications, SMS or email is acceptable as long as no sensitive information is disclosed in the notification."
2,3.1,System Generated Initial Passwords,"Ensure system generated initial passwords or activation codes should be securely randomly generated, should be at least 6 characters long, and may contain letters and numbers, and expire after a short period of time. These initial secrets must not be permitted to become the long term password."
2,5.1,System Generated Initial Activation or Recovery Secret Not Sent in Clear Text,Ensure that a system generated initial activation or recovery secret is not sent in clear text to the user.
2,5.2,Password Hints Not Present,"Ensure password hints or knowledge-based authentication (so-called ""secret questions"") are not present."
2,5.3,Credential Recovery Does Not Reveal Current Password,Ensure password credential recovery does not reveal the current password in any way.
2,5.4,Shared or Default Accounts Not Present,"Ensure shared or default accounts are not present (e.g. ""root"", ""admin"", or ""sa"")."
2,5.5,Authentication Factor Changed or Replaced,"Ensure that if an authentication factor is changed or replaced, that the user is notified of this event."
2,5.6,Forgotten Password Mechanisms,"Ensure forgotten password, and other recovery paths use a secure recovery mechanism, such as TOTP or other soft token, mobile push, or another offline recovery mechanism."
2,7.1,Clear Text Out of Band Authenticators,"Ensure that clear text out of band (NIST ""restricted"") authenticators, such as SMS or PSTN, are not offered by default, and stronger alternatives such as push notifications are offered first."
2,7.2,Out of Band Verifiers Expire,"Ensure that the out of band verifier expires out of band authentication requests, codes, or tokens after 10 minutes."
2,7.3,Out of Band Verifiers Used Only Once,"Ensure that the out of band verifier authentication requests, codes, or tokens are only usable once, and only for the original authentication request."
2,7.4,Communicates Over Secure Independent Channel,Ensure that the out of band authenticator and verifier communicates over a secure independent channel.
2,8.1,Time-based OTPs have Defined Lifetime,Ensure that time-based OTPs have a defined lifetime before expiring.
3,1.1,Never Reveal Session Tokens,Ensure the application never reveals session tokens in URL parameters or error messages.
3,2.1,New Session Token on User Authentication,Ensure the application generates a new session token on user authentication.
3,2.2,Session Tokens Possess 64-bit Entropy,Ensure that session tokens possess at least 64 bits of entropy.
3,2.3,Application Stores Session Tokens using Secure Methods,Ensure the application only stores session tokens in the browser using secure methods such as appropriately secured cookies (see section 3.4) or HTML 5 session storage.
3,3.1,Logout and Expiration Invalidates the Session Token,"Ensure that logout and expiration invalidate the session token, such that the back button or a downstream relying party does not resume an authenticated session, including across relying parties."
3,3.2,Re-authentication Occurs Periodically,"If authenticators permit users to remain logged in, ensure that re-authentication occurs periodically both when actively used or after an idle period. (30 days)"
3,4.1,Secure Attribute Set,Ensure that cookie-based session tokens have the 'Secure' attribute set.
3,4.2,HttpOnly Attribute Set,Ensure that cookie-based session tokens have the 'HttpOnly' attribute set.
3,4.3,SameSite Attribute,Ensure that cookie-based session tokens utilize the 'SameSite' attribute to limit exposure to cross-site request forgery attacks.
3,4.4,___Host-prefix,"Ensure that cookie-based session tokens use ""__Host-"" prefix (see references) to provide session cookie confidentiality."
3,4.5,Cookie-based Session Tokens,"Ensure that if the application is published under a domain name with other applications that set or use session cookies that might override or disclose the session cookies, set the path attribute in cookie-based session tokens using the most precise path possible."
3,7.1,Valid Login Session Before Allowing Sensitive Transactions or Account Modifications,Ensure the application ensures a valid login session or requires reauthentication or secondary verification before allowing any sensitive transactions or account modifications.
4,1.1,Application Enforces Access Control Rules,"Ensure that the application enforces access control rules on a trusted service layer, especially if client-side access control is present and could be bypassed."
4,1.2,Access Controls Cannot be Manipulated by End Users,Ensure that all user and data attributes and policy information used by access controls cannot be manipulated by end users unless specifically authorized.
4,1.3,Principle of Least Privilege,"Ensure that the principle of least privilege exists - users should only be able to access functions, data files, URLs, controllers, services, and other resources, for which they possess specific authorization. This implies protection against spoofing and elevation of privilege."
4,1.4,Deny by Default,Ensure that the principle of deny by default exists whereby new users/roles start with minimal or no permissions and users/roles do not receive access to new features until access is explicitly assigned.
4,1.5,Access Controls Fail Securely,Ensure that access controls fail securely including when an exception occurs.
4,2.1,Protection Against Direct Object Attacks,"Ensure that sensitive data and APIs are protected against direct object attacks targeting creation, reading, updating and deletion of records, such as creating or updating someone else's record, viewing everyone's records, or deleting all records."
4,2.2,Anti-CSRF Mechanisms,"Ensure that the application or framework enforces a strong anti-CSRF mechanism to protect authenticated functionality, and effective anti-automation or anti-CSRF protects unauthenticated functionality."
4,3.1,Administrative Interfaces Use Multi-factor Authentication,Ensure administrative interfaces use appropriate multi-factor authentication to prevent unauthorized use.
4,3.2,Directory Browsing Disabled,"Ensure that directory browsing is disabled unless deliberately desired. Additionally, applications should not allow discovery or disclosure of file or directory metadata, such as Thumbs.db, .DS_Store, .git or .svn folders."
5,1.1,Defense Against HTTP Parameter Pollution Attacks,"Ensure that the application has defenses against HTTP parameter pollution attacks, particularly if the application framework makes no distinction about the source of request parameters (GET, POST, cookies, headers, or environment variables)."
5,1.2,Protect Against Mass Parameter Assignment Attacks,"Ensure that frameworks protect against mass parameter assignment attacks, or that the application has countermeasures to protect against unsafe parameter assignment, such as marking fields private or similar."
5,1.3,Input is Validated Using Positive Validation,"Ensure that all input (HTML form fields, REST requests, URL parameters, HTTP headers, cookies, batch files, RSS feeds, etc) is validated using positive validation (whitelisting)."
5,1.4,Structured Data is Strongly Typed and Validated Against a Defined Schema,"Ensure that structured data is strongly typed and validated against a defined schema including allowed characters, length and pattern (e.g. credit card numbers or telephone, or validating that two related fields are reasonable, such as checking that suburb and zip/postcode match)."
5,1.5,URL Redirects and Forwards Only Allow Whitelisted Destinations,"Ensure that URL redirects and forwards only allow whitelisted destinations, or show a warning when redirecting to potentially untrusted content."
5,2.1,Untrusted HTML Input from WYSIWYG Editors,Ensure that all untrusted HTML input from WYSIWYG editors or similar is properly sanitized with an HTML sanitizer library or framework feature.
5,2.2,Unstructured Data is Sanitized,Ensure that unstructured data is sanitized to enforce safety measures such as allowed characters and length.
5,2.3,Sanitize User Input Before Passing to Mail Systems,Ensure that the application sanitizes user input before passing to mail systems to protect against SMTP or IMAP injection.
