primary_id,sub_id,Name,Description
1,1.1,Formal Process For Approving and Testing Configuration Changes,There shall be a formal process for approving and testing all network connections and changes to the firewall and router configurations.
1,1.2 (a),Current Network Diagram,"There shall be a current network diagram that documents all connections between the cardholder data environment and other networks, including any wireless networks."
1,1.2 (b),Current Network Diagram - updates,There shall be a process to ensure the network diagram is kept current. 
1,1.3 (a),Cardholder Data Flow Diagram,There shall be current network diagram that shows all cardholder data flows across systems and networks. 
1,1.3 (b),Cardholder Data Flow Diagram - Kept current,There shall be a process to ensure the network diagram is kept current.
1,1.4 (a),Firewall Placement,A firewall shall be required and implemented at each Internet connection and between any demilitarized zone (DMZ) and the internal network zone. 
1,1.4 (b),Firewall Placement - Kept Current,The current network diagram shall be consistent with the firewall configuration standards.
1,1.6 (a),Documented Ports and Services,"Firewall and router configuration standards shall include a documented list of services, protocols, and ports, including business justification and approval for each."
1,1.6 (b),Documented Ports and Services - Insecure Services,"All insecure services, protocols, and ports shall be identified, and are security features documented and implemented for each identified service."
1,1.7 (a),Firewall and Configuration Review,Firewall and router configuration standards shall require review of firewall and router rule sets at least every six months. 
1,1.7 (b),Firewall and Configuration Review - Six Months,Firewall and router rule sets shall be reviewed at least every six months. 
1,2.1(a),Ingress/Egress CHD Restrictions,Inbound and outbound traffic shall be restricted to that which is necessary for the cardholder data environment.
1,2.1(b),Ingress/Egress Traffic Denials,"All other inbound and outbound traffic shall be specifically denied (for example by using an explicit ""deny all"" or an implicit deny after allow statement)."
1,2.2,Router Configuration Files,"Router configuration files shall be secured from unauthorized access and synchronized, for example, the running (or active) configuration matches the startup configuration (used when machines are booted). "
1,2.3,Firewalls between cardholder and wireless networks,"Perimeter firewalls shall be installed between all wireless networks and the cardholder data environment, and are these firewalls configured to deny or, if traffic is necessary for business purposes, permit only authorized traffic between the wireless environment and the cardholder data environment. "
1,3.1,Implement a DMZ,"A DMZ shall be implemented to limit inbound traffic to only system components that provide authorized publicly accessible services, protocols, and ports. "
1,3.2,Limit inbound traffic,Inbound Internet traffic shall be limited to IP addresses within the DMZ.
1,3.3,Anti-Spoofing,"Anti-spoofing measures shall be implemented to detect and block forged sourced IP addresses from entering the network. 
 (For example, block traffic originating from the internet with an internal address)"
1,3.4,No Unauthorized Outbound Traffic,Outbound traffic from the cardholder data environment to the Internet shall be explicitly authorized.
1,3.5,Implement Stateful Inspection,Only established connections shall be permitted into the network.
1,3.7 (a),Do Not Disclose Private IP Address and Routing Information,"Methods shall be in place to prevent the disclosure of private IP addresses and routing information to the Internet:
 Note: Methods to obscure IP addressing may include, but are not limited to: 
 - Network Address Translation (NAT) 
 - Placing servers containing cardholder data behind proxy servers/firewalls, 
 - Removal or filtering of route advertisements for private networks that employ registered addressing, Internal use of RFC1918 address space instead of registered addresses"
1,3.7 (b),Do Not Disclose Private IP Address and Routing Information - Authorizations,Any disclosure of private IP addresses and routing information to external entities shall be authorized.
