primary_id,sub_id,Name,Description
3,2(c),Authentication Data Deleted,Sensitive authentication data shall be deleted or rendered unrecoverable upon completion of the authorization process. 
3,2.1,Full Contents Not Stored,"Ensure that all systems adhere to the following requirements regarding non-storage of sensitive authentication data after authorization (even if encrypted): 
The full contents of any track (from the magnetic stripe located on the back of a card, equivalent data contained on a chip, or elsewhere) shall not be stored after authorization. 
 
 This data is alternatively called full track, track, track 1, track 2, and magnetic-stripe data. 
 
 Note: In the normal course of business, the following data elements from the magnetic stripe may need to be retained: 
  The cardholders name, 
  Primary account number (PAN), 
  Expiration date, and 
  Service code 
 
 To minimize risk, store only these data elements as needed for business."
3,2.2,Code or Value Not Stored,"All systems shall adhere to the following requirements regarding non-storage of sensitive authentication data after authorization (even if encrypted): 
The card verification code or value (three-digit or fourdigit number printed on the front or back of a payment card) shall not be stored after authorization."
3,2.3,PIN Not Stored,"All systems shall adhere to the following requirements regarding non-storage of sensitive authentication data after authorization (even if encrypted): 
The personal identification number (PIN) or the encrypted PIN block shall not be stored after authorization."
3,3,PAN Masked When Displayed,"The PAN shall be masked when displayed (the first six and last four digits are the maximum number of digits to be displayed) such that only personnel with a legitimate business need can see more than the first six/last four digits of the PAN. 
 
 Note: This requirement does not supersede stricter requirements in place for displays of cardholder datafor example, legal or payment card brand requirements for point-of-sale (POS) receipts."
4,2(b),Unprotected PANs Not to be Sent,Policies in place that state that unprotected PANs shall not be sent via end-user messaging technologies.
7,1.2,Access Limited to Least Privileges,"Access to system components and cardholder data shall be limited to only those individuals whose jobs require such access, as follows: 
Access to privileged user IDs shall be restricted as follows: 
 
 - To least privileges necessary to perform job responsibilities
 - Assigned only to roles that specifically require that privileged access"
7,1.3,Access Assigned Based on Job Classification,"Access to system components and cardholder data shall be limited to only those individuals whose jobs require such access, as follows: 
Access assigned shall be based on individual personnels job classification and function."
9,5,Media Physically Secured,"All media shall be physically secured (including but not limited to computers, removable electronic media, paper receipts, paper reports, and faxes).
 
 For purposes of Requirement 9, media refers to all paper and electronic media containing cardholder data."
9,6(a),Control Over Media Distribution,Strict control shall be maintained over the internal or external distribution of any kind of media.
9,6.1,Media Classification,"Controls shall include the following: 
Media shall be classified so the sensitivity of the data can be determined."
9,6.2,Media Transport,"Controls shall include the following: 
Media shall be sent by secured courier or other delivery method that can be accurately tracked."
