primary_id,sub_id,Name,Description
1,1.2(a),Network Diagram,"Document a current network diagram that documents all connections between the cardholder data environment and other networks, including any wireless networks. "
1,1.2(b),Process to Keep Diagram Current,Ensure that there is a process to ensure that the network diagram is kept current. 
1,1.4(a),Firewall Required,"Ensure that a firewall is implemented, as required at each Internet connection and between any demilitarized zone (DMZ) and the internal network zone. "
1,1.4(b),Diagram Consistent with Firewall Configuration Standards,Ensure that the current network diagram is consistent with the firewall configuration standards. 
1,1.6(a),Documented List of Services,"Ensure that the firewall and router configuration standards include a documented list of services, protocols, and ports, including business justification and approval for each. "
1,1.6(b),"Insecure Services, Protocols, and Ports Identified","Ensure that all insecure services, protocols, and ports identified, and are security features documented and implemented for each identified service. "
1,2.1(a),Inbound and Outbound Traffic Restricted,"Ensure that firewall and router configurations restrict connections between untrusted networks and any system in the cardholder data environment as follows: 
Inbound and outbound traffic shall be restricted to that which is necessary for the cardholder data environment? 
 Note: An untrusted network is any network that is external to the networks belonging to the entity under review, and/or which is out of the entitys ability to control or manage."
1,2.1(b),All Other Traffic Denied,"Ensure that firewall and router configurations restrict connections between untrusted networks and any system in the cardholder data environment as follows: 
All other inbound and outbound traffic shall be specifically denied (for example by using an explicit deny all or an implicit deny after allow statement).  
Note: An untrusted network is any network that is external to the networks belonging to the entity under review, and/or which is out of the entitys ability to control or manage."
1,2.3,Firewalls Installed Between Wireless Networks and Cardholder Data Environment,"Perimeter firewalls shall be installed between all wireless networks and the cardholder data environment, and these firewalls shall be configured to deny or, if traffic is necessary for business purposes, permit only authorized traffic between the wireless environment and the cardholder data environment. "
1,3.3,Anti-Spoofing Measures Implemented,"Direct public access shall be prohibited between the Internet and any system component in the cardholder data environment, as follows: 
Anti-spoofing measures shall be implemented to detect and block forged sourced IP addresses from entering the network.
 (For example, block traffic originating from the internet with an internal address.)"
1,3.4,Outbound Traffic Explicitly Authorized,"Direct public access shall be prohibited between the Internet and any system component in the cardholder data environment, as follows: 
Outbound traffic from the cardholder data environment to the Internet shall be explicitly authorized."
1,3.5,Direct Public Access Prohibited,"Direct public access shall be prohibited between the Internet and any system component in the cardholder data environment, as follows: 
Only established connections shall be permitted into the network. "
2,1(a),Vendor Supplied Defaults,"The vendor-supplied defaults shall always be changed before installing a system on the network: 
This applies to ALL default passwords, including but not limited to those used by operating systems, software that provides security services, application and system accounts, point-of-sale (POS) terminals, payment applications, Simple Network Management Protocol (SNMP) community strings, etc.)."
2,1(b),Unnecessary Default Accounts Removed or Disabled,The unnecessary default accounts shall be removed or disabled before installing a system on the network. 
2,1.1(a),Encryption Keys Changed from Default,"For wireless environments connected to the cardholder data environment or transmitting cardholder data, all wireless vendor defaults shall be changed at installations, as follows: 
The encryption keys shall be changed from default at installation, and changed anytime anyone with knowledge of the keys leaves the company or changes positions. "
2,1.1(b),Default SNMP Community Strings Changed,"For wireless environments connected to the cardholder data environment or transmitting cardholder data, all wireless vendor defaults shall be changed at installations, as follows: 
The default SNMP community strings on wireless devices shall be changed at installation. "
2,1.1(c),Default Passwords on Access Points Changed,"For wireless environments connected to the cardholder data environment or transmitting cardholder data, all wireless vendor defaults shall be changed at installations, as follows: 
The default passwords/passphrases on access points shall be changed at installation. "
2,1.1(d),Firmware on Wireless Devices Updated,"For wireless environments connected to the cardholder data environment or transmitting cardholder data, all wireless vendor defaults shall be changed at installations, as follows: 
The firmware on wireless devices shall be updated to support strong encryption for authentication and transmission over wireless networks."
2,1.1(e),Other Security-Related Wireless Vendor Defaults Changed,"For wireless environments connected to the cardholder data environment or transmitting cardholder data, all wireless vendor defaults shall be changed at installations, as follows:  
Other security-related wireless vendor defaults shall be changed, if applicable. "
2,3(a),Non-Console Administrative Access Encrypted,"The non-console administrative access shall be encrypted as follows: 
All non-console administrative access shall be encrypted with strong cryptography, and is a strong encryption method invoked before the administrators password is requested. "
2,3(b),Prevent Use of Telnet,"The non-console administrative access shall be encrypted as follows: 
The system services and parameter files shall be configured to prevent the use of Telnet and other insecure remote login commands."
2,3(c),Web-based Management Interfaces Encrypted,"The non-console administrative access shall be encrypted as follows: 
The administrator access to web-based management interfaces shall be encrypted with strong cryptography."
2,3(d),Strong Cryptography,"The non-console administrative access shall be encrypted as follows: 
For the technology in use, strong cryptography shall be implemented according to industry best practice and/or vendor recommendations."
3,2(c),Authentication Data Deleted or Rendered Unrecoverable,The sensitive authentication data shall be deleted or rendered unrecoverable upon completion of the authorization process.
