primary_id,sub_id,Name,Description
1,2.1(a),Inbound and Outbound Traffic Restricted,"Firewall and router configurations shall restrict connections between untrusted networks and any system in the cardholder data environment as follows: 
Inbound and outbound traffic shall be restricted to that which is necessary for the cardholder data environment. 
 
 Note: An untrusted network is any network that is external to the networks belonging to the entity under review, and/or which is out of the entitys ability to control or manage."
1,2.1(b),All Other Traffic Denied,"Firewall and router configurations shall restrict connections between untrusted networks and any system in the cardholder data environment as follows: 
All other inbound and outbound traffic shall be specifically denied (for example by using an explicit deny all or an implicit deny after allow statement).
 
 Note: An untrusted network is any network that is external to the networks belonging to the entity under review, and/or which is out of the entitys ability to control or manage."
1,2.3,Firewalls Installed Between Wireless Networks and Cardholder Data Environment,"Firewall and router configurations shall restrict connections between untrusted networks and any system in the cardholder data environment as follows: 
Perimeter firewalls installed between all wireless networks and the cardholder data environment, and are these firewalls configured to deny or, if traffic is necessary for business purposes, permit only authorized traffic between the wireless environment and the cardholder data environment. 
 
 Note: An untrusted network is any network that is external to the networks belonging to the entity under review, and/or which is out of the entitys ability to control or manage."
1,3.4,Outbound Traffic Explicitly Authorized,"Direct public access shall be prohibited between the Internet and any system component in the cardholder data environment, as follows: Is outbound traffic from the cardholder data environment to the Internet explicitly authorized."
1,3.5,Direct Public Access Prohibited,"Direct public access shall be prohibited between the Internet and any system component in the cardholder data environment, as follows: Are only established connections permitted into the network."
1,4(a),Install Personal Firewall Software,"Personal firewall software (or equivalent functionality) shall be installed and active on any portable computing devices (including company and/or employee-owned) that connect to the Internet when outside the network (for example, laptops used by employees), and which are also used to access the CDE. "
1,4(b),Install Personal Firewall Software - Not Alterable,"The personal firewall software (or equivalent functionality) shall be configured to specific configuration settings, actively running, and not alterable by users of mobile and/or employee-owned devices."
2,1(a),Vendor Supplied Defaults,"The vendor-supplied defaults shall always be changed before installing a system on the network.
 
 This applies to ALL default passwords, including but not limited to those used by operating systems, software that rovides security services, application and system accounts, point-of-sale (POS) terminals, payment applications, Simple Network Management Protocol (SNMP) community strings, etc.)."
2,1(b),Unnecessary Default Accounts Removed or Disabled,Unnecessary default accounts shall be removed or disabled before installing a system on the network.
2,1.1(a),Encryption Keys Changed from Default,"Wireless environments connected to the cardholder data environment or transmitting cardholder data, all wireless vendor defaults shall be changed at installations, as follows: The encryption keys shall be changed from default at installation, and changed anytime anyone with knowledge of the keys leaves the company or changes positions."
2,1.1(b),Default SNMP Community Strings Changed,"Wireless environments connected to the cardholder data environment or transmitting cardholder data, all wireless vendor defaults shall be changed at installations, as follows: Default SNMP community strings on wireless devices shall be changed at installation."
