primary_id,sub_id,Name,Description
1,1.1,Formal Process For Approving and Testing Configuration Changes,"Ensure that the firewall and router configuration standards are established and implemented to include the following: 
A formal process for approving and testing all network connections and changes to the firewall and router configurations."
1,1.2(a),Network Diagram,"Ensure that the firewall and router configuration standards are established and implemented to include the following:  
A current network diagram that documents all connections between the cardholder data environment and other networks, including any wireless networks."
1,1.2(b),Process to Keep Diagram Current,"Ensure that the firewall and router configuration standards are established and implemented to include the following:  
A process to ensure the network diagram is kept current."
1,1.3(a),Cardholder Data Flow Diagram,"Ensure that the firewall and router configuration standards are established and implemented to include the following: 
A current diagram that shows all cardholder data flows across systems and networks."
1,1.3(b),Cardholder Data Flow Diagram - Kept current,"Ensure that the firewall and router configuration standards are established and implemented to include the following:  
A process to ensure the network diagram is kept current."
1,1.4(a),Firewall Required,"Ensure that the firewall and router configuration standards are established and implemented to include the following:  
A firewall shall be required and implemented at each Internet connection and between any demilitarized zone (DMZ) and the internal network zone."
1,1.4(b),Diagram Consistent with Firewall Configuration Standards,"Ensure that the firewall and router configuration standards are established and implemented to include the following:  
The current network diagram shall be consistent with the firewall configuration standards."
1,1.5,"Groups, Roles, and Responsibilities","Ensure that the firewall and router configuration standards are established and implemented to include the following:  
Groups, roles, and responsibilities for logical management of network components shall be assigned and documented in the firewall and router configuration standards."
1,1.6(a),Documented List of Services,"Ensure that the firewall and router configuration standards are established and implemented to include the following:  
Firewall and router configuration standards shall include a documented list of services, protocols, and ports, including business justification and approval for each."
1,1.6(b),"Insecure Services, Protocols, and Ports Identified","Ensure that the firewall and router configuration standards are established and implemented to include the following:  
All insecure services, protocols, and ports shall be identified, and security features shall be documented and implemented for each identified service."
1,1.7(a),Firewall and Configuration Review,"Ensure that the firewall and router configuration standards are established and implemented to include the following:  
Firewall and router configuration standards require review of firewall and router rule sets at least every six months."
1,1.7(b),Firewall and Configuration Review - Six Months,"Ensure that the firewall and router configuration standards are established and implemented to include the following: 
Firewall and router rule sets shall be reviewed at least every six months."
1,2.1(a),Inbound and Outbound Traffic Restricted,"Ensure that the firewall and router configurations restrict connections between untrusted networks and any system in the cardholder data environment as follows: 
Inbound and outbound traffic shall be restricted to that which is necessary for the cardholder data environment.
 
 Note: An ""untrusted network"" is any network that is external to the networks belonging to the entity under review, and/or which is out of the entity's ability to control or manage."
1,2.1(b),All Other Traffic Denied,"Ensure that the firewall and router configurations restrict connections between untrusted networks and any system in the cardholder data environment as follows: 
All other inbound and outbound traffic shall be specifically denied (for example by using an explicit ""deny all"" or an implicit deny after allow statement). 
 Note: An ""untrusted network"" is any network that is external to the networks belonging to the entity under review, and/or which is out of the entity's ability to control or manage."
1,2.2,Router Configuration Files,"Ensure that the firewall and router configurations restrict connections between untrusted networks and any system in the cardholder data environment as follows: 
Router configuration files shall be secured from unauthorized access and synchronized, for example, the running (or active) configuration matches the startup configuration (used when machines are booted). 
 
 Note: An ""untrusted network"" is any network that is external to the networks belonging to the entity under review, and/or which is out of the entity's ability to control or manage."
1,2.3,Firewalls Installed Between Wireless Networks and Cardholder Data Environment,"Ensure that the firewall and router configurations restrict connections between untrusted networks and any system in the cardholder data environment as follows: 
Perimeter firewalls shall be installed between all wireless networks and the cardholder data environment, and these firewalls shall be configured to deny or, if traffic is necessary for business purposes, permit only authorized traffic between the wireless environment and the cardholder data environment. 
 
 Note: An ""untrusted network"" is any network that is external to the networks belonging to the entity under review, and/or which is out of the entity's ability to control or manage."
1,3.1,Implement a DMZ,"Direct public access shall be prohibited between the Internet and any system component in the cardholder data environment, as follows: 
A DMZ shall be implemented to limit inbound traffic to only system components that provide authorized publicly accessible services, protocols, and ports."
1,3.2,Limit inbound traffic,"Direct public access shall be prohibited between the Internet and any system component in the cardholder data environment, as follows: 
Inbound Internet traffic shall be limited to IP addresses within the DMZ."
1,3.3,Anti-Spoofing,"Direct public access shall be prohibited between the Internet and any system component in the cardholder data environment, as follows: 
Anti-spoofing measures shall be implemented to detect and block forged sourced IP addresses from entering the network.
 
 (For example, block traffic originating from the internet with an internal address)"
1,3.4,No Unauthorized Outbound Traffic,"Direct public access shall be prohibited between the Internet and any system component in the cardholder data environment, as follows: 
Outbound traffic from the cardholder data environment to the Internet shall be explicitly authorized."
1,3.5,Implement Stateful Inspection,"Direct public access shall be prohibited between the Internet and any system component in the cardholder data environment, as follows: 
Only established connections shall be permitted into the network."
1,3.6,Cardholder Data Segregated,"Direct public access shall be prohibited between the Internet and any system component in the cardholder data environment, as follows: 
System components that store cardholder data (such as a database) placed in an internal network zone, shall be segregated from the DMZ and other untrusted networks."
1,3.7(a),Private IP Address and Routing Information,"Direct public access shall be prohibited between the Internet and any system component in the cardholder data environment, as follows: 
Methods shall be in place to prevent the disclosure of private IP addresses and routing information to the Internet: 
 
 Note: Methods to obscure IP addressing may include, but are not limited to: 
 - Network Address Translation (NAT) 
 - Placing servers containing cardholder data behind proxy servers/firewalls, 
 - Removal or filtering of route advertisements for private networks that employ registered addressing, Internal use of RFC1918 address space instead of registered addresses"
1,3.7(b),Private IP Address and Routing Information - Authorizations,"Direct public access shall be prohibited between the Internet and any system component in the cardholder data environment, as follows: 
Any disclosure of private IP addresses and routing information to external entities shall be authorized."
1,4(a),Install Personal Firewall Software,"Personal firewall software (or equivalent functionality) shall be installed and active on any portable computing devices (including company and/or employee-owned) that connect to the Internet when outside the network (for example, laptops used by employees), and which are also used to access the CDE. "
1,4(b),Personal Firewall Software - Not Alterable,"Personal firewall software (or equivalent functionality) shall be configured to specific configuration settings, actively running, and not alterable by users of mobile and/or employee-owned devices."
1,5,Security Policies for Managing Firewalls,"Security policies and operational procedures for managing firewalls shall be: 
 
 - Documented 
 - In use 
 - Known to all affected parties."
2,1(a),Vendor Supplied Defaults,"The vendor-supplied defaults shall be always changed before installing a system on the network:
 
 This applies to ALL default passwords, including but not limited to those used by operating systems, software that rovides security services, application and system accounts, point-of-sale (POS) terminals, payment applications, Simple Network Management Protocol (SNMP) community strings, etc.)."
2,1(b),Unnecessary Default Accounts Removed or Disabled,Unnecessary default accounts shall be removed or disabled before installing a system on the network.
2,1.1(a),Encryption Keys Changed from Default,"For wireless environments connected to the cardholder data environment or transmitting cardholder data, all wireless vendor defaults shall be changed at installations, as follows: 
Encryption keys shall be changed from default at installation, and changed anytime anyone with knowledge of the keys leaves the company or changes positions."
2,1.1(b),Default SNMP Community Strings Changed,"For wireless environments connected to the cardholder data environment or transmitting cardholder data, all wireless vendor defaults shall be changed at installations, as follows: 
Default SNMP community strings on wireless devices shall be changed at installation."
2,1.1(c),Default Passwords on Access Points Changed,"For wireless environments connected to the cardholder data environment or transmitting cardholder data, all wireless vendor defaults shall be changed at installations, as follows: 
Default passwords/passphrases on access points shall be changed at installation."
2,1.1(d),Firmware on Wireless Devices Updated,"For wireless environments connected to the cardholder data environment or transmitting cardholder data, all wireless vendor defaults shall be changed at installations, as follows: 
Firmware on wireless devices shall be updated to support strong encryption for authentication and transmission over wireless networks."
2,1.1(e),Other Security-Related Wireless Vendor Defaults Changed,"For wireless environments connected to the cardholder data environment or transmitting cardholder data, all wireless vendor defaults shall be changed at installations, as follows: 
Other security-related wireless vendor defaults shall be changed, if applicable."
2,2(a),Develop Configuration Standards,"Configuration standards shall be developed for all system components and they shall be consistent with industry-accepted system hardening standards. 
 
 Sources of industry-accepted system hardening standards may include, but are not limited to, SysAdmin Audit Network Security (SANS) Institute, National Institute of Standards Technology (NIST), International Organization for Standardization (ISO), and Center for Internet Security (CIS)."
2,2(b),Develop Configuration Standards - Updated as needed,"System configuration standards shall be updated as new vulnerability issues are identified, as defined in Requirement 6.1"
2,2(c),Develop Configuration Standards - Applied to new systems,System configuration standards shall be applied when new systems are configured.
