primary_id,sub_id,Name,Description
3,1(a),Storage and Retention Timing,"Ensure that the data-retention and disposal policies, procedures, and processes are implemented as follows: 
data storage amount and retention time is limited to that required for legal, regulatory, and/or business requirements."
3,1(b),Cardholder Data Deletion,"Ensure that the data-retention and disposal policies, procedures, and processes are implemented as follows:
The defined processes are in place for securely deleting cardholder data when no longer needed for legal, regulatory, and/or business reasons."
3,1(c),Retention Requirements,"Ensure that the data-retention and disposal policies, procedures, and processes implemented as follows: 
There is a specific retention requirement(s) for cardholder data.
  For example, cardholder data needs to be held for X period for Y business reasons."
3,1(d),Quarterly Process for Reviewing Retention,"Ensure that the data-retention and disposal policies, procedures, and processes implemented as follows: 
There is a quarterly process for identifying and securely deleting stored cardholder data that exceeds defined retention requirements."
3,1(e),Meet the Requirements for Retention,"Ensure that the data-retention and disposal policies, procedures, and processes implemented as follows: 
All stored cardholder data meet the requirements defined in the data-retention policy."
3,2.2,Verification Code Storage,"For all paper storage, the card verification code or value (three-digit or four-digit number printed on the front or back of a payment card) shall not be stored after authorization. "
3,7,Storage Policies and Procedures,"Ensure that security policies and operational procedures for protecting stored cardholder data are:
 - Documented 
 - In use 
 - Known to all affected parties."
9,5,Media Physically Secured,"Ensure that all media are physically secured (including but not limited to computers, removable electronic media, paper receipts, paper reports, and faxes).

 For purposes of Requirement 9, media refers to all paper and electronic media containing cardholder data"
9,8(a),Media Destruction,Ensure that all media is destroyed when it is no longer needed for business or legal reasons.
9,8.1(a),Media Destruction - Hardcopy Materials,"Ensure that the media destruction is performed as follows: 
Hardcopy materials cross-cut shredded, incinerated, or pulped so that cardholder data cannot be reconstructed."
9,8.1(b),Media Destruction - Storage Containers,"Ensure that the media destruction is performed as follows: 
Storage containers used for materials that contain information to be destroyed secured to prevent access to the contents."
9,9(a),List of Devices,"Ensure that the devices that capture payment card data via direct physical interaction with the card protected against tampering and substitution as follows: 
The policies and procedures shall require that a list of such devices be maintained. 
 Note: This requirement applies to card-reading devices used in card-present transactions (that is, card swipe or dip) at the point of sale. This requirement is not intended to apply to manual key-entry components such as computer keyboards and POS keypads."
9,9(b),Periodically Inspected,"Ensure that the devices that capture payment card data via direct physical interaction with the card protected against tampering and substitution as follows: 
The policies and procedures shall require that devices are periodically inspected to look for tampering or substitution.  
 Note: This requirement applies to card-reading devices used in card-present transactions (that is, card swipe or dip) at the point of sale. This requirement is not intended to apply to manual key-entry components such as computer keyboards and POS keypads."
9,9(c),Personnel Trained,"Ensure that the devices that capture payment card data via direct physical interaction with the card protected against tampering and substitution as follows: 
The policies and procedures shall require that personnel are trained to be aware of suspicious behavior and to report tampering or substitution of devices. 
 Note: This requirement applies to card-reading devices used in card-present transactions (that is, card swipe or dip) at the point of sale. This requirement is not intended to apply to manual key-entry components such as computer keyboards and POS keypads."
9,9.1(a),Inventory,"The list of devices shall include the following:
 - Make, model of device 
 - Location of device (for example, the address of the site or facility where the device is located) 
 - Device serial number or other method of unique identification"
9,9.1(b),Accurate and Up-to-Date,The list of devices shall be kept accurate and up to date. 
9,9.1(c),"Updated when Added, Relocated, or Decommissioned","The list of devices shall be updated when devices are added, relocated, decommissioned, etc."
9,9.2(a),Device Surfaces Inspected,"The device surfaces shall be periodically inspected to detect tampering (for example, addition of card skimmers to devices), or substitution (for example, by checking the serial number or other device characteristics to verify it has not been swapped with a fraudulent device) as follows:
 (9.9.2(a), Payment Card Industry (PCI) Data Security Standard, Self-Assessment Questionnaire B and Attestation of Compliance, Verions 3.2)
 Note: Examples of signs that a device might have been tampered with or substituted include unexpected attachments or cables plugged into the device, missing or changed security labels, broken or differently colored casing, or changes to the serial number or other external markings."
9,9.2(b),Personnel Aware of Procedures for Inspections,The personnel shall be aware of procedures for inspecting devices.
9,9.3(a),Training Topics,"The personnel shall be trained to be aware of attempted tampering or replacement of devices, to include the following: 
The training materials for personnel at point-of-sale locations shall include the following: 
 - Verify the identity of any third-party persons claiming to be repair or maintenance personnel, prior to granting them access to modify or troubleshoot devices. 
 - Do not install, replace, or return devices without verification. 
 - Be aware of suspicious behavior around devices (for example, attempts by unknown persons to unplug or open devices). 
 - Report suspicious behavior and indications of device tampering or substitution to appropriate personnel (for example, to a manager or security officer)."
9,9.3(b),Point-of-Sale Location Trainings on Detecting and Reporting Attempted Tampering,"The personnel trained to be aware of attempted tampering or replacement of devices shall include the following: 
The personnel at point-of-sale locations shall have received training, and they shall be aware of procedures to detect and report attempted tampering or replacement of devices."
9,1,Restricting Physical Access Policies and Procedures,"The security policies and operational procedures for restricting physical access to cardholder data shall be: 
 - Documented 
 - In use 
 - Known to all affected parties."
