primary_id,sub_id,Name,Description
1,1,Firewall and Router Configuration Standards,Establish and implement firewall and router configuration standards.
1,1.1,Formal Process For Approving and Testing Configuration Changes,Ensure that there is a formal process for approving and testing all network connections and changes to the firewall and router configurations. 
1,1.2,Current Network Diagram,"Ensure that there is a current network diagram with all connections to cardholder data, including any wireless networks."
1,1.3,Cardholder Data Flow Diagram,Ensure that the current network diagram shows all cardholder data flows across systems and networks.
1,1.4,Firewall Placement,A firewall is required at each Internet connection and between any demilitarized zone (DMZ) and the internal network zone
1,1.5,Description of logical management,"Document the description of groups, roles, and responsibilities for logical management of network components."
1,1.6,Documentation for Allowed Ports and Services,"Ensure the documentation of business justification and approval for use of all services, protocols, and ports allowed, including documentation of security features implemented for those protocols considered to be insecure."
1,1.7,Review of Firewall and Router Rule Sets,Ensure that the requirement to review firewall and router rule sets at least every six months.
1,2,Firewall and Router Configurations Restrict Untrusted Networks,"Build firewall and router configurations that restrict connections between untrusted networks and any system components in the cardholder data environment. 
 Note: An untrusted network is any network that is external to the networks belonging to the entity under review, and/or which is out of the entity's ability to control or manage"
1,2.1,Restrict unnecessary traffic,"Restrict inbound and outbound traffic to that which is necessary for the cardholder data environment, and specifically deny all other traffic."
1,2.2,Secure Router Configurations,Secure and Synchronize Router Configuration Files.
1,2.3,Firewalls between cardholder and wireless networks,"Install perimeter firewalls between all wireless networks and the cardholder data environment, and configure these firewalls to deny or, if such traffic is necessary for business purposes, permit only authorized traffic between the wireless environment and the cardholder data environment."
1,3,Prohibit Direct Internet Access,Prohibit direct public access between the Internet and any system component in the cardholder data environment.
1,3.1,Implement a DMZ,"Implement a DMZ to limit inbound traffic to only system components that provide authorized publicly accessible services, protocols, and ports."
1,3.2,Limit inbound traffic,Limit inbound Internet traffic to IP addresses within the DMZ
1,3.3,Anti-Spoofing,"Implement anti-spoofing measures to detect and block forged source IP addresses from entering the network. 
 (For example, block traffic originating from the Internet with an internal source address.)"
1,3.4,No Unauthorized Outbound Traffic,Do not allow unauthorized outbound traffic from the cardholder data environment to the Internet.
1,3.5,Implement Stateful Inspection,"Permit only ""established"" connections into the network."
1,3.6,Segregate Cardholder Data Components,"Place system components that store cardholder data (such as a database) in an internal network zone, segregated from the DMZ and other untrusted networks."
1,3.7,Do Not Disclose Private IP Address and Routing Information,"Do not disclose private IP addresses and routing information to unauthorized parties. 
 Note: Methods to obscure IP addressing may include, but are not limited to: 
 -Network Address Translation (NAT) 
 -Placing servers containing cardholder data behind proxy servers/firewalls 
 -Removal or filtering of route advertisements for private networks that employ registered addressing 
 -Internal use of RFC1918 address space instead of registered addresses"
1,4,Install Personal Firewall Software,"Install personal firewall software or equivalent functionality on any portable computing devices (including company and/or employee owned) that connect to the Internet when outside the network (for example, laptops used by employees), and which are also used to access the CDE. Firewall (or equivalent) configurations include: 
 -Specific configuration settings are defined 
 -Personal firewall (or equivalent functionality) is actively running. 
 -Personal firewall (or equivalent functionality) is not alterable by users of the portable computing devices."
1,5,Implementation of Security Policies,"Ensure that security policies and operational procedures for managing firewalls are documented, in use, and known to all parties."
2,1,Change vendor supplied default,"Always change vendor-supplied defaults and remove or disable unnecessary default accounts before installing a system on the network. This applies to ALL default passwords, including but not limited to those used by operating systems, software that provides security services, application and system accounts, point-of-sale (POS) terminals, payment applications, Simple Network Management Protocol (SNMP) community strings, etc. 
"
2,1,Change Vendor Supplied Defaults,"Always change vendor-supplied defaults and remove or disable unnecessary default accounts before installing a system on the network. 
 This applies to ALL default passwords, including but not limited to those used by operating systems, software that provides security services, application and system accounts, point-of-sale (POS) terminals, payment applications, Simple Network Management Protocol (SNMP) community strings, etc."
2,1.1,Change Wireless Network Defaults,"For wireless environments connected to the cardholder data environment or transmitting cardholder data, change all wireless vendor defaults at installation, including but not limited to default wireless encryption keys, passwords, and SNMP community strings."
2,2,Develop Configuration Standards,"Develop configuration standards for all system components. Assure that these standards address all known security vulnerabilities and are consistent with industry-accepted system hardening standards. 
 
 Sources of industry-accepted system hardening standards may include, but are not limited to: 
 - Center for Internet Security (CIS) 
 - International Organization for Standardization (ISO) 
 - SysAdmin Audit Network Security (SANS) Institute 
 - National Institute of Standards Technology (NIST)"
2,2.1,One Primary Function Per Server,"Implement only one primary function per server to prevent functions that require different security levels from co-existing on the same server. (For example, web servers, database servers, and DNS should be implemented on separate servers.) 
 Note: Where virtualization technologies are in use, implement only one primary function per virtual system component."
2,2.2,Enable Only Necessary Services,"Enable only necessary services, protocols, daemons, etc. as required for the function of the system."
2,2.3,Security Features for Required Services,"Implement additional security features for any required services, protocols, or daemons that are considered to be insecure. 
 Note: SSL/early TLS is not considered strong cryptography and may not be used as a security control, except by POS POI terminals that are verified as not being susceptible to known exploits and the termination points to which they connect as defined in Appendix A2."
2,2.4,Configure System Security,Configure system security parameters to prevent misuse.
2,2.5,Remove Unnecessary Functionality,"Remove all unnecessary functionality, such as scripts, drivers, features, subsystems, file systems, and unnecessary web servers."
2,3,Encrypt All Non-Console Administrative Access,"Encrypt all non-console administrative access using strong cryptography. 
 Note: SSL/early TLS is not considered strong cryptography and may not be used as a security control, except by POS POI terminals that are verified as not being susceptible to known exploits and the termination points to which they connect as defined in Appendix A2."
2,4,System Component Inventory,Maintain an inventory of system components that are in scope for PCI DSS.
2,5,Vendor Defaults and Parameters Policies,"Ensure that security policies and operational procedures for managing vendor defaults and other security parameters are documented, in use, and known to all affected parties."
2,6,Ensure Shared Hosting Providers Are Protecting Cardholder Data,Shared hosting providers must protect each entitys hosted environment and cardholder data. These providers must meet specific requirements as detailed in Appendix A: Additional PCI DSS Requirements for Shared Hosting Providers.
