primary_id,sub_id,Name,Description
3,1.1.1,Cyber Security Governance - Committee Establishment,A cyber security committee should be established and be mandated by the board.
3,1.1.2,Cyber Security Governance - Top Management Leading the Committee,The cyber security committee should be headed by an independent senior manager from a control function.
3,1.1.3.a,Cyber Security Governance - Senior Management Representation,"The senior managers from all relevant departments (e.g., COO, CIO, compliance officer, heads of relevant business departments) should be represented in the cyber security committee:"
3,1.1.3.b,Cyber Security Governance - CISO ,The Chief information security officer (CISO) should be represented in the cyber security committee:
3,1.1.3.c,Cyber Security Governance - Internal Audit Team,The Internal audit may attend the cyber security committee as an observer.
3,1.1.4.a,Cyber Security Governance - Committee Objectives,"A cyber security committee charter should be developed, approved and reflect including committee objectives."
3,1.1.4.b,Cyber Security Governance - Committee Roles & Responsibilities,"A cyber security committee charter should be developed, approved and reflect including roles and responsibilities."
3,1.1.4.c,Cyber Security Governance - Committee Number of Meeting Participants,"A cyber security committee charter should be developed, approved and reflect including minimum number of meeting participants."
3,1.1.4.d,Cyber Security Governance - Committee Meeting Frequency,"A cyber security committee charter should be developed, approved and reflect including meeting frequency (minimum on quarterly basis)."
3,1.1.5,Cyber Security Governance - Establish a Cybersecurity Function,A cyber security function should be established.
3,1.1.6,Cyber Security Governance - An Independent Cybersecurity Function,"The cyber security function should be independent from the information technology function. To avoid any conflict of interest, the cyber security function and information technology function should have separate reporting lines, budgets and staff evaluations."
3,1.1.7,Cyber Security Governance - Cybersecurity Function Reporting Line, The cyber security function should report directly to the CEO/managing director of the Member Organization or general manager of a control function.
3,1.1.8,Cyber Security Governance - Appointing a senior manager,"A full-time senior manager for the cyber security function, referred to as CISO, should be appointed at senior management level."
3,1.1.9.a,Cyber Security Governance - Saudi National CISO,The Member Organization should ensure the CISO has a Saudi nationality.
3,1.1.9.b,Cyber Security Governance - Qualified CISO,The Member Organization should ensure the CISO is sufficiently qualified.
3,1.1.9.c,Cyber Security Governance - No Objection from SAMA,The Member Organization should obtain no objection from SAMA to assign the CISO.
3,1.1.10,Cyber Security Governance - Allocation of Budget,The board of the Member Organization should allocate sufficient budget to execute the required cyber security activities.
3,1.2.1,Cyber Security Strategy - Approval & execution ,"The cyber security strategy should be defined, approved, maintained and executed."
3,1.2.2.a,Cyber Security Strategy - Alignment with objectives ,The cyber security strategy should be aligned with the Member Organizations overall objectives.
3,1.2.2.b,Cyber Security Strategy - Alignment with laws/regulations  ,The cyber security strategy should be aligned the legal and regulatory compliance requirements of the Member Organization.
3,1.2.2.c,Cyber Security Strategy - Alignment with banking strategy ,The cyber security strategy should be aligned the Banking Sectors cyber security strategy.
3,1.2.3.a,Cyber Security Strategy - Address benefits of cyber security ,The cyber security strategy should address the importance and benefits of cyber security for the Member Organization.
3,1.2.3.b,Cyber Security Strategy - Address future state of cyber security ,The cyber security strategy should address the anticipated future state of cyber security for the Member Organization to become and remain resilient to (emerging) cyber security threats.
3,1.2.3.c,Cyber Security Strategy - Address initiatives & projects ,The cyber security strategy should address which and when cyber security initiatives and projects should be executed to achieve the anticipated future state.
3,1.3.1,Cyber Security Policy - Approval & communication  ,"The cyber security policy should be defined, approved and communicated."
3,1.3.2,Cyber Security Policy - Review ,The cyber security policy should be reviewed periodically according to a predefined and structured review process.
3,1.3.3.a,Cyber Security Policy - Input for other policies ,"The cyber security policy should be considered as input for other corporate policies of the Member Organization (e.g., HR policy, finance policy and IT policy)."
3,1.3.3.b,Cyber Security Policy - Support by security standards ,"The cyber security policy should be supported by detailed security standards (e.g., password standard, firewall standard) and procedures."
3,1.3.3.c,Cyber Security Policy - Based on best practices ,The cyber security policy should be based on best practices and (inter)national standards.
3,1.3.3.d,Cyber Security Policy - Communication to stakeholders ,The cyber security policy should be communicated to relevant stakeholders.
3,1.3.4.a,Cyber Security Policy - Define cyber security ,The cyber security policy should include a definition of cyber security.
3,1.3.4.b,Cyber Security Policy - Cyber security objectives & scope ,The cyber security policy should include the Member Organizations overall cyber security objectives and scope.
3,1.3.4.c,Cyber Security Policy - Board's intent,"The cyber security policy should include a statement of the boards intent, supporting the cyber security objectives."
3,1.3.4.d,Cyber Security Policy - Define responsibilities ,The cyber security policy should include a definition of general and specific responsibilities for cyber security.
3,1.3.4.e,Cyber Security Policy - Reference to cyber security standards ,The cyber security policy should include the reference to supporting cyber security standards and procedures.
3,1.3.4.f.1,Cyber Security Policy - Cyber security requirements & importance to member organization,The cyber security policy should include cyber security requirements that ensure information is classified in a way that indicates its importance to the Member Organization
3,1.3.4.f.2,Cyber Security Policy - Cyber security requirements in line with risk appetite,"The cyber security policy should include cyber security requirements that ensure information is protected in terms of cyber security requirements, in line with the risk appetite."
3,1.3.4.f.3,Cyber Security Policy - Information asset owners ,The cyber security policy should include cyber security requirements that ensure owners are appointed for all information assets.
3,1.3.4.f.4,Cyber Security Policy - Risk assessment for information assets ,The cyber security policy should include cyber security requirements that ensure cyber security risk assessments are conducted for information assets.
3,1.3.4.f.5,Cyber Security Policy - Cyber security awareness program ,The cyber security policy should include cyber security requirements that ensure  relevant stakeholders are made aware of cyber security and their expected behavior (cyber security awareness program).
3,1.3.4.f.6,Cyber Security Policy - Compliance with regulations and contractual requirements ,The cyber security policy should include cyber security requirements that ensure compliance with regulatory and contractual obligations are being met.
3,1.3.4.f.7,Cyber Security Policy - Reporting of cyber security weaknesses ,The cyber security policy should include cyber security requirements that ensure cyber security breaches and suspected cyber security weaknesses are reported.
3,1.3.4.f.8,Cyber Security Policy - Cyber security in business continuity management ,The cyber security policy should include cyber security requirements that ensure  cyber security is reflected in business continuity management.
3,1.4.1.a,Cyber Security Roles and Responsibilities - Sufficient Budget ,"The Board of Directors has the ultimate responsibility for cyber security, including ensuring that sufficient budget for cyber security is allocated."
3,1.4.1.b,Cyber Security Roles and Responsibilities - Cyber security committee charter,"The Board of Directors has the ultimate responsibility for cyber security, including approving the cyber security committee charter."
3,1.4.1.c.1,Cyber Security Roles and Responsibilities - Endorsing cyber security governance ,"The Board of Directors has the ultimate responsibility for cyber security, including endorsing (after being approved by the cyber security committee) the cyber security governance."
3,1.4.1.c.2,Cyber Security Roles and Responsibilities - Endorsing cyber security strategy,"The Board of Directors has the ultimate responsibility for cyber security, including endorsing (after being approved by the cyber security committee) the the cyber security strategy."
3,1.4.1.c.3,Cyber Security Roles and Responsibilities - Endorsing cyber security policy,"The Board of Directors has the ultimate responsibility for cyber security, including endorsing (after being approved by the cyber security committee) the cyber security policy."
3,1.4.2.a,Cyber Security Roles and Responsibilities - Monitoring & communicating risk appetite ,"The cyber security committee should be responsible for monitoring, reviewing and communicating the Member Organizations cyber security risk appetite periodically or upon a material change in the risk appetite."
3,1.4.2.b,Cyber Security Roles and Responsibilities - Review cyber security strategy ,The cyber security committee should be responsible for reviewing the cyber security strategy to ensure that it supports the Member Organization objectives.
3,1.4.2.c.1,Cyber Security Roles and Responsibilities - Cyber security governance,"The cyber security committee should be responsible for approving, communicating, supporting and monitoring the cyber security governance."
3,1.4.2.c.2,Cyber Security Roles and Responsibilities - Cyber security strategy,"The cyber security committee should be responsible for approving, communicating, supporting and monitoring the cyber security strategy."
3,1.4.2.c.3,Cyber Security Roles and Responsibilities - Cyber security policy,"The cyber security committee should be responsible for approving, communicating, supporting and monitoring the cyber security policy."
3,1.4.2.c.4,Cyber Security Roles and Responsibilities - Cyber security programs ,"The cyber security committee should be responsible for approving, communicating, supporting and monitoring cyber security programs (e.g., awareness program, data classification program, data privacy, data leakage prevention, key cyber security improvements)."
3,1.4.2.c.5,Cyber Security Roles and Responsibilities - Cyber security risk management process,"The cyber security committee should be responsible for approving, communicating, supporting and monitoring cyber security risk management process."
3,1.4.2.c.6,Cyber Security Roles and Responsibilities - Monitoring key risk indicators (KRIs) & key performance indicators (KPIs) ,"The cyber security committee should be responsible for approving, communicating, supporting and monitoring the key risk indicators (KRIs) and key performance indicators (KPIs) for cyber security."
3,1.4.3.a,Cyber Security Roles and Responsibilities - Ensure processes reflect security requirements ,"The senior management should be responsible for ensuring that standards, processes and procedures reflect security requirements (if applicable)."
3,1.4.3.b,Cyber Security Roles and Responsibilities - Individual acceptance & compliance ,"The senior management should be responsible for ensuring that individuals accept and comply with the cyber security policy, supporting standards and procedures when they are issued and updated."
3,1.4.3.c,Cyber Security Roles and Responsibilities - Job descriptions of key positions & cyber security staff ,The senior management should be responsible for ensuring that cyber security responsibilities are incorporated in the job descriptions of key positions and cyber security staff.
3,1.4.4.a.1,Cyber Security Roles and Responsibilities - Maintain cyber security strategy,The CISO should be responsible for developing and maintaining cyber security strategy.
3,1.4.4.a.2,Cyber Security Roles and Responsibilities - Maintain cyber security policy,The CISO should be responsible for developing and maintaining cyber security policy.
