primary_id,sub_id,Name,Description
I,101 (a),Public Company Accounting Oversight Board: Establishment of the Board,"There is established the Public Company Accounting Oversight Board, to oversee the audit of public companies that are subject to the securities laws, and related matters, in order to protect the interests of investors and further the public interest in the preparation of informative, accurate, and independent audit reports for companies the securities of which are sold to, and held by and for, public investors. The Board shall be a body corporate, operate as a nonprofit corporation, and have succession until dissolved by an Act of Congress."
I,101 (c)(1),Public Company Accounting Oversight Board: Duties of the Board,"The Board shall, subject to action by the Commission under section 107, and once a determination is made by the Commission under subsection (d) of this section register public accounting firms that prepare audit reports for issuers, in accordance with section 102."
I,101 (c)(2),Public Company Accounting Oversight Board: Duties of the Board,"The Board shall, subject to action by the Commission under section 107, and once a determination is made by the Commission under subsection (d) of this section establish or adopt, or both, by rule, auditing, quality control, ethics, independence, and other standards relating to the preparation of audit reports for issuers, in accordance with section 103."
I,101 (c)(3),Public Company Accounting Oversight Board: Duties of the Board,"The Board shall, subject to action by the Commission under section 107, and once a determination is made by the Commission under subsection (d) of this section conduct inspections of registered public accounting firms, in accordance with section 104 and the rules of the Board."
I,101 (c)(4),Public Company Accounting Oversight Board: Duties of the Board,"The Board shall, subject to action by the Commission under section 107, and once a determination is made by the Commission under subsection (d) of this section conduct investigations and disciplinary proceedings concerning, and impose appropriate sanctions where justified upon, registered public accounting firms and associated persons of such firms, in accordance with section 105."
I,101 (c)(5),Public Company Accounting Oversight Board: Duties of the Board,"The Board shall, subject to action by the Commission under section 107, and once a determination is made by the Commission under subsection (d) of this section perform such other duties or functions as the Board (or the Commission, by rule or order) determines are necessary or appropriate to promote high professional standards among, and improve the quality of audit services offered by, registered public accounting firms and associated persons thereof, or otherwise to carry out this Act, in order to protect investors, or to further the public interest."
I,101 (c)(6),Public Company Accounting Oversight Board: Duties of the Board,"The Board shall, subject to action by the Commission under section 107, and once a determination is made by the Commission under subsection (d) of this section enforce compliance with this Act, the rules of the Board, professional standards, and the securities laws relating to the preparation and issuance of audit reports and the obligations and liabilities of accountants with respect thereto, by registered public accounting firms and associated persons thereof."
I,101 (c)(7),Public Company Accounting Oversight Board: Duties of the Board,"The Board shall, subject to action by the Commission under section 107, and once a determination is made by the Commission under subsection (d) of this section set the budget and manage the operations of the Board and the staff of the Board."
I,101 (d),Commission Determination,"The members of the Board shall take such action (including hiring of staff, proposal of rules, and adoption of initial and transitional auditing and other professional standards) as may be necessary or appropriate to enable the Commission to determine, not later than 270 days after the date of enactment of this Act, that the Board is so organized and has the capacity to carry out the requirements of this title, and to enforce compliance with this title by registered public accounting firms and associated persons thereof. The Commission shall be responsible, prior to the appointment of the Board, for the planning for the establishment and administrative transition to the Boards operation."
I,101 (g)(1),Rules of the Board,"The rules of the Board shall, subject to the approval of the Commission provide for the operation and administration of the Board, the exercise of its authority, and the performance of its responsibilities under this Act."
