primary_id,sub_id,Name,Description
M1,1.1.1,Understanding the entity and its context - Interested parties ,The entity shall determine interested parties that are relevant to its information security.
M1,1.1.2,Understanding the entity and its context - Requirements of interested parties ,The entity shall determine the requirements of these interested parties.
M1,1.1.3,Understanding the entity and its context - Sector or national context ,The entity shall determine factors related to its sector or national context.
M1,1.1.4,Understanding the entity and its context - Internal Capabilities ,The entity shall determine its internal capabilities.
M1,1.1.5,Understanding the entity and its context - Organizational structure ,The entity shall determine its organizational structure.
M1,1.2.1,Leadership and management commitment - Information security policy & objectives ,Top management commitment shall ensure the information security policy and the information security objectives are established and are compatible with the strategic direction of the entity.
M1,1.2.2,Leadership and management commitment - Integration of information security requirements into processes,Top management commitment shall ensure the integration of the information security requirements into the entity's processes.
M1,1.2.3,Leadership and management commitment - Availability of resources ,Top management commitment shall ensure that the resources needed for information security are available.
M1,1.2.4,Leadership and management commitment - Communicate importance of effectiveness ,Top management commitment shall communicate the importance of the effectiveness of information security management.
M1,1.2.5,Leadership and management commitment - Direct & support ,Top management commitment shall direct and support persons to contribute to the effectiveness of information security and conforming to the requirements of these Standards.
M1,1.2.6,Leadership and management commitment - Continual improvement ,Top management commitment shall promote continual improvement.
M1,1.2.7,Leadership and management commitment - Support other roles ,Top management commitment shall support other relevant management roles to demonstrate their leadership as it applies to their areas of responsibility.
M1,1.2.8,Leadership and management commitment - Participate in reviews,"Top management commitment shall give direction to and participating in reviews of information security, including risks, controls and effectiveness, on a high level."
M1,1.3.1,Roles and responsibilities for information security - Assign responsibilities and authorities ,Top management shall assign the responsibility and the authority for ensuring that the information security implemented in the entity conforms to the requirements of the UAE IA Regulation.
M1,1.3.2,Roles and responsibilities for information security - Information security performance reporting ,Top management shall assign the responsibility and the authority for reporting on the performance of information security to top management.
M1,1.3.3,Roles and responsibilities for information security - Appoint Information Security Manager ,"Top management shall ensure that an Information Security Manager is appointed to take overall responsibility for the establishment, implementation, maintenance and continual improvement of information security."
M1,1.3.4,Roles and responsibilities for information security - Establish Information Security Committee,"Top management shall ensure that an Information Security Committee is established that oversees and governs the establishment, implementation, maintenance and continual improvement of information security in the entity, and that integrates information security in the entity."
M1,2.1.1,Information security policy - Appropriateness,The Information Security Policy shall be appropriate to the purpose of the entity.
M1,2.1.2,Information security policy - Framework for objectives ,The Information Security Policy shall provide the framework for setting information security objectives and/or include information security objectives.
M1,2.1.3,Information security policy - Commitment to satisfy requirements,The Information Security Policy shall include a commitment to satisfy all applicable information security requirements.
M1,2.1.4,Information security policy - Commitment to continual improvement ,The Information Security Policy shall include a commitment to continual improvement of the information security management system.
M1,2.1.5,Information security policy - Available as a document ,The Information Security Policy shall be documented.
M1,2.1.6,"Information security policy - Maintenance, review, and update ","The Information Security Policy shall be maintained, reviewed and updated at planned intervals or if significant changes occur."
M1,2.2.1,"Supporting policies for information security -Define, approve, and publish","The set of supporting information security polices shall be defined, approved, published and communicated to employees and relevant external parties."
M1,2.2.2,Supporting policies for information security - Cover all aspects of information security ,"The set of supporting information security polices shall address all aspects of information security that are included in this Standard, based on the risk assessment."
M1,2.2.3,Supporting policies for information security - Sector specific requirements ,The set of supporting information security polices shall address sector-specific regulations and standards.
M1,2.2.4,Supporting policies for information security - Suitable ,The set of supporting information security polices shall be suitable to the entity and shall have a clearly identified audience.
M1,2.2.5,Supporting policies for information security - Reflect implementation,The set of supporting information security polices shall reflect the implementation the entity has chosen and shall not include any statements the entity does not comply with.
M1,2.2.6,Supporting policies for information security - Top management commitment ,The set of supporting information security polices shall include commitment of the Top Management.
M1,2.2.7,Supporting policies for information security - Available as a document ,The set of supporting information security polices shall be documented
M1,2.2.8,"Supporting policies for information security - Maintenance, review, and update","The set of supporting information security polices shall be maintained, reviewed and updated at planned intervals or if significant changes occur."
M1,3.1.1,Authorization process for information systems - Define and implement,The entity shall define and implement a management authorization process for new information systems.
M1,3.1.2,Authorization process for information systems - Regulate,The entity shall regulate the use of personal information systems for processing business information.
M1,3.2.1,Confidentiality agreements - Define a template ,The entity shall define a Non-Disclosure Agreement (NDA) template to be used to legally protect confidential information and ownership of information.
M1,3.2.2,Confidentiality agreements - Information classification process,The entity shall have an information classification process in place to identify which information is subject to the terms of the NDA.
M1,3.2.3,Confidentiality agreements - Track all signed NDAs,The entity shall keep a track record of all signed NDAs and perform a periodical review.
M1,3.3.1,Contact with authorities - Identify relevant authorities ,"The entity shall identify all relevant national authorities, including sector specific regulators."
M1,3.3.2,Contact with authorities - Identify a point of contact,"The entity shall identify a Point of Contact in the Entity and communicate his/her name to the identified authorities, if required or allowed."
