primary_id,sub_id,Name,Type,Affected property(ies),Risk,Treatment
M1,1.1.1,Understanding the entity and its context - Interested parties ,Information Security Management and Governance,"Confidentiality 
",Unintentional data leakage due to lack of determining interested parties that are relevant to its information security.,Ensure that the entity shall determine interested parties that are relevant to its information security.
M1,1.1.2,Understanding the entity and its context - Requirements of interested parties ,Information Security Management and Governance,"Confidentiality 
",Unintentional data leakage due to lack of determination of requirements of interested parties.,Ensure that the entity shall determine the requirements of these interested parties.
M1,1.1.3,Understanding the entity and its context - Sector or national context ,Information Security Management and Governance,"Confidentiality 
",Data leakage caused by ineffective information security management system due to lack of determining the factors related to the sector or national context.,Ensure that the entity shall determine factors related to its sector or national context.
M1,1.1.4,Understanding the entity and its context - Internal Capabilities ,Information Security Management and Governance,"Confidentiality 
",Data leakage caused by ineffective information security management system due to lack of determining the internal capabilities.,Ensure that the entity shall determine its internal capabilities.
M1,1.1.5,Understanding the entity and its context - Organizational structure ,Information Security Management and Governance,"Confidentiality 
",Unauthorized access due to lack of determining the organizational structure.,Ensure that the entity shall determine its organizational structure.
M1,1.2.1,Leadership and management commitment - Information security policy & objectives ,Information Security Management and Governance,"Confidentiality 
",Unintentional data leakage due to lack of information security policy and information security objectives.,Ensure that the top management commitment shall make sure the information security policy and the information security objectives are established and are compatible with the strategic direction of the entity.
M1,1.2.2,Leadership and management commitment - Integration of information security requirements into processes,Information Security Management and Governance,"Confidentiality 
",Unintentional data leakage due to lack of the integration of the information security requirements into the entity’s processes.,Ensure that the top management commitment shall make sure the integration of the information security requirements into the entity’s processes.
M1,1.2.3,Leadership and management commitment - Availability of resources ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Cyber attack due to lack of resources needed for information security.,Ensure that the top management commitment shall make sure that the resources needed for information security are available.
M1,1.2.4,Leadership and management commitment - Communicate importance of effectiveness ,Information Security Management and Governance,"Confidentiality 
 ",Unintentional data leakage due to lack of communication of the importance of the effectiveness of information security management.,Ensure that the top management commitment shall communicate the importance of the effectiveness of information security management.
M1,1.2.5,Leadership and management commitment - Direct & support ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Breach of legislation due to lack of direction and support persons to contribute to the effectiveness of information security and conforming to the requirements of  regulatory standards.,Ensure that the top management commitment shall direct and support persons to contribute to the effectiveness of information security and conforming to the requirements of regulatory standards.
M1,1.2.6,Leadership and management commitment - Continual improvement ,Information Security Management and Governance,Confidentiality,Data leakage caused by ineffective information security management system due to lack of top management commitment to promote continual improvement.,Ensure that the top management commitment shall promote continual improvement.
M1,1.2.7,Leadership and management commitment - Support other roles ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Cyber attack due to lack of management support to other relevant management roles related to information security.,Ensure that the top management commitment shall support other relevant management roles to demonstrate their leadership as it applies to their areas of responsibility.
M1,1.2.8,Leadership and management commitment - Participate in reviews,Information Security Management and Governance,"Confidentiality 
","Data leakage caused by ineffective information security management system due to lack of top management direction to and participating in reviews of information security, including risks, controls and effectiveness, on a high level.","Ensure that the top management commitment shall give direction to and participating in reviews of information security, including risks, controls and effectiveness, on a high level."
M1,1.3.1,Roles and responsibilities for information security - Assign responsibilities and authorities ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Breach of legislation due to lack of assignation of responsibility and the authority for ensuring that the information security implemented in the entity conforms to the requirements of the uae ia regulation.,Ensure that the top management shall assign the responsibility and the authority for ensuring that the information security implemented in the entity conforms to the requirements of the uae ia regulation.
M1,1.3.2,Roles and responsibilities for information security - Information security performance reporting ,Information Security Management and Governance,"Confidentiality 
",Data leakage caused by ineffective information security management system due to lack of assignation of the responsibility of reporting on the performance of information security to top management.,Ensure that the top management shall assign the responsibility and the authority for reporting on the performance of information security to top management.
M1,1.3.3,Roles and responsibilities for information security - Appoint Information Security Manager ,Information Security Management and Governance,"Confidentiality 
",Data leakage caused by ineffective information security management system due to lack of appointment of an information security manager. ,"Ensure that the top management shall make sure that an information security manager is appointed to take overall responsibility for the establishment, implementation, maintenance and continual improvement of information security."
M1,1.3.4,Roles and responsibilities for information security - Establish Information Security Committee,Information Security Management and Governance,"Confidentiality 
",Data leakage caused by ineffective information security management system due to lack of establishment of an information security committee.,"Ensure that the top management shall make sure that an information security committee is established that oversees and governs the establishment, implementation, maintenance and continual improvement of information security in the entity, and that integrates information security in the entity."
M1,2.1.1,Information security policy - Appropriateness,Information Security Management and Governance,"Confidentiality 
",Unintentional data leakage due to inappropriate  information security policy. ,Ensure that the information security policy shall be appropriate to the purpose of the entity.
M1,2.1.2,Information security policy - Framework for objectives ,Information Security Management and Governance,"Confidentiality 
",Unintentional data leakage due  lack of  framework for setting information security objectives and/or include information security objectives in information security policy.,Ensure that the information security policy shall provide the framework for setting information security objectives and/or include information security objectives.
M1,2.1.3,Information security policy - Commitment to satisfy requirements,Information Security Management and Governance,"Confidentiality 
",Data leakage caused by ineffective information security management system due to lack of a commitment to satisfy all applicable information security requirements in the information security policy.,Ensure that the information security policy shall include a commitment to satisfy all applicable information security requirements.
M1,2.1.4,Information security policy - Commitment to continual improvement ,Information Security Management and Governance,"Confidentiality 
",Data leakage caused by ineffective information security management system due to lack of a commitment to continual improvement of the information security management system in information security policy.,Ensure that the information security policy shall include a commitment to continual improvement of the information security management system.
M1,2.1.5,Information security policy - Available as a document ,Information Security Management and Governance,"Confidentiality 
",Unintentional data leakage due to lack of documentation of information security policy.,Ensure that the information security policy shall be documented.
M1,2.1.6,"Information security policy - Maintenance, review, and update ",Information Security Management and Governance,"Confidentiality 
","Unintentional data leakage due to lack of   maintenance, review and update of information security policy.","Ensure that the information security policy shall be maintained, reviewed and updated at planned intervals or if significant changes occur."
M1,2.2.1,"Supporting policies for information security -Define, approve, and publish",Information Security Management and Governance,"Confidentiality 
","Unintentional data leakage due to lack of  defining, approving, publishing and communicating set of supporting information security polices to employees and relevant external parties.","Ensure that the set of supporting information security polices shall be defined, approved, published and communicated to employees and relevant external parties."
M1,2.2.2,Supporting policies for information security - Cover all aspects of information security ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ","Breach of legislation due to lack of addressing all aspects of information security that are included in regulatory standard(s), based on the risk assessment.","Ensure that the set of supporting information security polices shall address all aspects of information security that are included in this standard, based on the risk assessment."
M1,2.2.3,Supporting policies for information security - Sector specific requirements ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Breach of legislation due to lack of addressing sector-specific regulations and standards in information security polices.,Ensure that the set of supporting information security polices shall address sector-specific regulations and standards.
M1,2.2.4,Supporting policies for information security - Suitable ,Information Security Management and Governance,"Confidentiality 
",Unintentional data leakage due to lack of  suitability of information security polices.,Ensure that the set of supporting information security polices shall be suitable to the entity and shall have a clearly identified audience.
M1,2.2.5,Supporting policies for information security - Reflect implementation,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Breach of legislation due to lack of synchronisation between the implementation of information security and statements in the information security policies. ,Ensure that the set of supporting information security polices shall reflect the implementation the entity has chosen and shall not include any statements the entity does not comply with.
